SampleID,Acholeplasma,Achromobacter,Acidaminococcus,Acidovorax,Acinetobacter,Actinobacillus,Actinobaculum,Actinomadura,Actinomyces,Actinomycetospora,Aerococcus,Aggregatibacter,Agrobacterium,Agrococcus,Akkermansia,Alcaligenes,Alishewanella,Alkanindiges,Alloiococcus,Anaerococcus,Anaerovibrio,Anoxybacillus,Aquabacterium,Arcobacter,Arthrobacter,Atopobium,Bacillus,Bacteroides,Balneimonas,Bifidobacterium,Blautia,Brachybacterium,Brevibacillus,Brevibacterium,Brevundimonas,Bulleidia,Burkholderia,Butyricicoccus,Caldilinea,Campylobacter,Candidatus Azobacteroides,Cardiobacterium,Cellulosimicrobium,CF231,Chryseomicrobium,Chthoniobacter,Citrobacter,Cloacibacterium,Clostridium,Cohnella,Comamonas,Coprococcus,Corynebacterium,Cronobacter,Dehalobacterium,Deinococcus,Delftia,Dermabacter,Dermacoccus,Dermatophilus,Desulfovibrio,Devosia,Dialister,Diaphorobacter,Dietzia,Dorea,Elizabethkingia,Elusimicrobium,Enterobacter,Enterococcus,Epulopiscium,Erwinia,Erysipelothrix,Ethanoligenens,Ewingella,Faecalibacterium,Fibrobacter,Filifactor,Finegoldia,Flavobacterium,Flexispira,Fluviicola,Friedmanniella,Fusobacterium,Gallicola,Gardnerella,Gemmata,Gemmiger,Geobacillus,Geodermatophilus,Georgenia,Gluconacetobacter,Glycomyces,Gordonia,Granulicatella,Guggenheimella,GW-34,Haemophilus,Halomonas,Helcobacillus,Helcococcus,Helicobacter,Hymenobacter,Janthinobacterium,Jeotgalicoccus,Kocuria,Kytococcus,Labrenzia,Lachnoanaerobaculum,Lachnobacterium,Lachnospira,Lactobacillus,Lactococcus,Lampropedia,Lautropia,Leptotrichia,Leucobacter,Leuconostoc,Listeria,Luteibacter,Lysobacter,Macrococcus,Marmoricola,Massilia,Megasphaera,Methanobrevibacter,Microbacterium,Microbispora,Micrococcus,Mitsuokella,Modestobacter,Moraxella,Moryella,Mucilaginibacter,Mycoplasma,Myroides,N09,Neisseria,Nesterenkonia,Nocardioides,Novosphingobium,Ochrobactrum,Olsenella,Oribacterium,Ornithinimicrobium,Oscillospira,p-75-a5,Paenibacillus,Paludibacter,Pannonibacter,Parabacteroides,Paracoccus,Paraprevotella,Pediococcus,Pedobacter,Peptoniphilus,Peptostreptococcus,Petrobacter,ph2,Phascolarctobacterium,Planifilum,Planomicrobium,Pontibacter,Porphyromonas,Prevotella,Proteiniclasticum,Proteus,Pseudaminobacter,Pseudochrobactrum,Pseudoclavibacter,Pseudomonas,Pseudonocardia,Pseudoxanthomonas,Psychrobacter,Rahnella,Rheinheimera,Rhizobium,Rhodobacter,Rhodococcus,Rhodoplanes,Roseburia,Roseomonas,Rothia,Rubellimicrobium,Ruminococcus,Rummeliibacillus,Saccharibacillus,Salana,Sarcina,Selenomonas,Serratia,Shewanella,Skermanella,SMB53,Solibacillus,Sphingobacterium,Sphingobium,Spirosoma,Sporosarcina,Staphylococcus,Stenotrophomonas,Streptococcus,Streptomyces,Succinivibrio,Synergistes,Terriglobus,Tessaracoccus,Thermicanus,Thermoactinomyces,Treponema,Trichococcus,Truepera,Trueperella,Turicibacter,Uruburuella,Variovorax,Veillonella,WAL_1855D,Wautersiella,Weissella,Xanthobacter,Xanthomonas,YRC22,Cutibacterium,Eubacterium,Grand Total
LK16S005-001,0,0,0,0,0.00121675,0,0.000258883,0,0,0,0.000427157,0,0,0,0,0,0,0,0.000245939,0,0,0,0,0,0,0,0,0,0,0.000453045,0.000116497,0.000336548,0,0,0.000129441,0.00022005,0,0.000414213,0,0,0,0,0,0.000194162,0.00015533,0,0,0,0.002213449,0,0,0.000893146,0.014730438,0,0,0.003637305,0,0.000129441,0,0,0,0,0,0,0,0.000388324,0,0,0,0,0,0,0,0,0,0,0.000232995,0,0,0,0,0,0,0,0,0,0,0.000181218,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000582487,0.000258883,0.003003042,0,0,0,0,0,0.039906802,0,0,0,0,0.00022005,0,0,0,0,0.846016439,0,0,0,0.000388324,0,0,0.007067504,0,0,0.002394667,0,0,0,0,0,0,0,0,0,0,0,0,0,0.002265226,0,0,0.001087308,0,0.000284771,0.00031066,0,0,0,0,0,0,0,0.000414213,0,0,0,0,0.000388324,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.037991069,0,0.001838069,0,0,0,0.001100252,0,0,0,0,0.004802278,0,0,0,0,0,0.017642871,0,0.001682739,0,0,0,0,0,0,0,0.001087308,0,0,0.000142386,0.002006343,0,0,0,0,0,6.47207E-05,0,0,0.000336548,0,0.000142386,1
LK16S005-002,0,0,0,0,0.000846024,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000669243,0,0,0,0,0.000214663,0.000138899,0,0,0,7.57633E-05,0,0,0,0,0,0,0,0,0.002298154,0,0,0.00068187,0.012791373,0,0,0.002058237,6.31361E-05,0,0,0,0,0,0,0,0,0.000745006,0,0,0,0.000113645,0.000176781,0,0,0,0,0,0,0,0,0.000151527,7.57633E-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000290426,0,0,8.83905E-05,0,0,0.002184509,0,0.000340935,0,0,0,0,0,0.019206,0.000126272,8.83905E-05,0,0,0,0,0,0,0,0.901330909,0,0,8.83905E-05,0.000265172,0,0,0.004204864,0,0,0.001212213,0,0,0,0,0,0,0,0,0,0,0,0,0,0.002197136,2.52544E-05,0,0.000467207,0,0.000214663,0.000214663,0,0,0,0,0,0,0,0.000277799,0,0,0,0,0.000580852,0.000151527,0,0,0,0,0.000353562,0,0,0,0,0,0,0,0,0,0,0,0.027211657,0,0.000757633,0,0,0,0.000378817,0,0.000126272,0,0,0.001161704,0,0,0,0,0,0.012829255,0.000290426,0.001540521,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000126272,0,0,0.000568225,0,0,1
LK16S005-003,0,0,0,0,0.00050969,0,0,0,0,0,0.000203876,0,0,0,0,0,0,0,6.37113E-05,0,0,0,0,0,0,0,0,0,0,0.000331299,0,0,0,0,7.64536E-05,6.37113E-05,0,0,0,0,0,0,0,0,0,0,0,0,0.002828782,0,0,0.001427133,0.009722346,0,0,0.001223257,0,0,0,0,0,0,0,0,0,0.000331299,0,0,0,0.000152907,0,0,0,0,0,0,6.37113E-05,0,0,0,0,0,0,0,0,0,0,8.91958E-05,0,0,0,0,0,0,0,0,0,0,0,0,2.54845E-05,0,0,0.000942927,0,0.000586144,0,0,0,0,0,0.011493521,0,6.37113E-05,0,0,0,0,0,0,0,0.925801807,0,0,3.82268E-05,0.000127423,0,0,0.005364492,0,0,0.000891958,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001095835,0.000140165,0,0.000433237,0,0.000293072,0.000178392,0,0,0,0,0,0,0,0.000191134,0,0,0,0,0.000382268,0,0,0,0,0,0.000547917,0,0,0,0,0,0,0,0,0,0,0,0.022120567,0,0.000547917,0,0,0,0.000318557,0,0,0,0,0.001898597,0,0,0,0,0,0.006485811,0,0.001541814,0,0,0,0,0,0,0,0.000598886,0,0,6.37113E-05,0.000229361,0,0,0.00011468,0,0,0,0,0,0.000242103,0.000152907,0,1
LK16S005-004,0,0,0,0,0.000518557,0.000285735,0,0,0,0,0.00079371,0,0,0,0,0,0,0,0.000285735,0,0,0,0,0,0,0,0,0,0,0.000656133,0.000169325,0,0,0,0,4.23312E-05,0,0.000105828,0,0.000148159,0,0,0,5.2914E-05,0.000116411,0,0,0,0.003481739,0,0,0.00064555,0.014889992,0,0,0.003873303,0,0,0,0,0,0,0,0,0,0.00045506,0,0,0,0,0.000137576,0,0,0,0,0,0.000137576,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.23312E-05,0,0,0.00071963,0.000338649,0.002042479,0,0,0,0,0,0.029081519,0,0,0,0,0,0,0,0,0,0.859005429,0,0,0,0.000423312,0,0,0.005143238,0,0,0.00234938,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001142942,0,0,0.000624385,0,0.000317484,0.000571471,0,0,0.000137576,0,0,0,0,0.000126994,0,0,0,0.000137576,0.000687882,7.40796E-05,0,0,0,0,0.000158742,0,0,0,0,0,0,0,0,0,0,0,0.04673362,0,0.001058279,0,0,0,0.000666716,0,0,0,0,0.005555967,0,0,0,0,0,0.012424201,0.000232821,0.001523922,0,0,0,0,0,0,0,0.00052914,0,0,0,0.000592636,0,0,0,0,0,0.000201073,0,0,0.000391563,7.40796E-05,9.52452E-05,1
LK16S005-005,0,0.000159154,0,0,0.000869225,0.000134669,0,0,0,0,7.34556E-05,0,0.000171396,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000171396,0,0,0.000489704,0.000159154,0,0,0,6.1213E-05,6.1213E-05,0,0.000208124,0,0,0,0,0,0.000122426,0,0,0,0,0.002889253,0,0,0.001163047,0.015499131,0,0,0.002399549,0.000220367,0,0,0,0,0,0,0,0,0.000318308,0,0,0,3.67278E-05,0.000171396,0,8.56982E-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.79408E-05,0,0.000171396,0,0,0,0,0,0,0,0,0.000134669,0,0,0,0,0.000918195,0,0.001664994,0,0,0,0,0,0.015976592,0,0,0,0,6.1213E-05,0,0,0,0,0.901642957,0,0,0,0.000134669,0,0,0.004235939,0,0,0.00122426,0,0,0,0,0,0,0,0.000134669,0,0,0,0,0,0.001848633,0,0,0.000477461,0,0.000269337,0.0006611,0,0,4.89704E-05,0,0,0,0,0.000159154,0,0,0,0,0.000306065,0,0,0,0,0,0.000318308,0.001052864,0,0,0,0,0,0,7.34556E-05,0,0,0,0.023493548,0,0.001456869,0,0,0,0.001052864,0,0,0,0,0.002081242,0,0,0,0,0,0.011140765,0.000648858,0.001358929,0,0,0,0,0,0,0,0.000477461,0,0,7.34556E-05,0.000134669,0,0,4.89704E-05,0,0,0.000465219,0,0,0.000489704,0,0,1
LK16S005-006,0,0,0,0,0.000298722,0,0,0,0,0,0.000190096,0,0,0,0,0,0,0,4.07349E-05,0,0,0,0,0,0,0,0,0,0,0.000230831,0,0,0,0,0.000149361,0,0,0,0,0.000230831,0,0,0,0,0,0,0,0,0.001642973,0,0,0.000230831,0.012519179,0,0,0.000746806,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000149361,0,0,0,0,0,0,0.000108626,0,0,0,8.14697E-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000434505,0,0.000230831,0,0,0,0,0,0.007074287,0,0,0,0,0,0,0,0,0,0.927464798,0,0,0,0.000203674,0,0,0.002444091,0,0,0.000597445,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000719649,0,0,0.000162939,0,0,0.000122205,0,0,0,0,0,0,0,9.5048E-05,0,0,0,0,0,0,9.5048E-05,0,0,0,9.5048E-05,0,0,0,0,0,0,0,0,0,0,0,0.031528779,0,0.001222046,0,0,0,0.000828275,0,0,0,0,0.002539139,0,0,0,0,0,0.006368216,0.000108626,0.000611023,0,0,0,0,0,0,0,0,0,0,0,0.000217253,0,0,0,0,0,0,0,0,0.000122205,0,9.5048E-05,1
LK16S005-007,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00041508,0,0,0,0.183766066,0,0,0.0008731,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000701343,0,0,0,0,0,0.00018607,0,0,0,0,0,0,0,0,0,0.699710875,0,0,0,0,0,0,0.00216128,0,0,0.000200384,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.083259382,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.028726419,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
LK16S005-008,0,0,0,0,0,0,0,0,0,0,0.0001094,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.175597322,0,0,0.001783214,9.84597E-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000743917,0,0.000765797,0,0,0,0,0,0.000240679,0,0,0,0,0,0,0,0,0,0.663278925,0,0,0,0,0,0,0.002592771,0,0,0.000207859,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0001094,0,0,0,0,0,0,0,0,0,0,0,7.65797E-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.092573954,0,0,0,0,0,6.56398E-05,0,0,0,0,0.000787677,0,0,0,0,0,0.060902766,0,6.56398E-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
LK16S005-009,0,0,0,0,3.24258E-05,0,0,0,0,0,6.48515E-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.48515E-05,0,0.200845232,0,0,0.000734984,0,0,0,0,0,0,0,0,0,0,0,0,0,3.24258E-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000324258,0,0.001318648,0,0,0,0,0,0.000853879,0,0,0,0,0,0,0,0,0,0.632821366,0,0,0,0,0,0,0.002345464,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.32344E-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00015132,0,0,0,8.64687E-05,0,0,0,0,0,0,0,0,0,0,0,0.06726186,0,0,0,0,0,0,0,0,0,0,0.000486387,0,0,0,0,0,0.092132427,0.000129703,0.000270215,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
LK16S005-010,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000355942,0,0,0,0.183003167,0,0,0.002086555,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00069961,0,0,0,0,0,9.81908E-05,0,0,0,0,0,0,0,0,0,0.650477453,0,0,0,0,0,0,0.002381128,0,0,0.001055551,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.096312934,0,2.45477E-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.063431279,0,0,0,0,0,0,0,0,0,0,0,0,0,7.36431E-05,0,0,0,0,0,0,0,0,0,0,0,1
