"","Row.names","logFC","AveExpr","t","P.Value","adj.P.Val","B","gene","count","sca.t","sca.P.Value","sca.adj.pval","CompoundName","CleanName","LipidABV","Formula","Mass","RT","LargerLipidGroup.ABV","LargerLipidGroup","LIPIDClass_CommonName","LipidClass_LIPID_MAPS","LIPID_MAPS"
"1","25-hydroxycholecalciferol__Pp",-4.36582137969089,-15.778782150538,-2.20077027701173,0.0376377479205868,0.127355635405707,-4.66738615202979,"25-hydroxycholecalciferol__Pp",26,-2.20238786770543,0.0374875213530052,0.127217127856845,"25-hydroxycholecalciferol","25-hydroxycholecalciferol","VitaminD3","C27 H44 O2",400.334,4.51,"Sterol lipids ","ST","Secosteroids","Vitamin D3","ST03"
"2","ASG.28:2;O;Hex;FA.21:3__Pp",-6.1581097981077,-9.72584136273635,-1.88893702238035,0.0710697235827057,0.201277757299926,-5.22645899479738,"ASG.28:2;O;Hex;FA.21:3__Pp",26,-1.89073873511632,0.0707920692534056,0.200004778181952,"ASG 28:2;O;Hex;FA 21:3","ASG 28:2;O;Hex;FA 21:3","ASG","C55 H90 O7",862.6821,12.43,"Fatty Acyls","FA"," Acyl Sterol Glycosides"," Acyl Sterol Glycosides",""
"3","C17-carnitine(d3)__Pp",-6.03894253275162,-14.1122331114265,-2.46529876590216,0.0212454918093677,0.0892770847151767,-4.14963455828722,"C17-carnitine(d3)__Pp",26,-2.46740555695201,0.0211292083668916,0.088320146926313,"C17-carnitine(d3)","C17-carnitine(d3)","C17-carnitine(d3)","C24 H44 D3 N O4",416.3695,2.97,"Sterol lipids ","ST","Secosteroids","Vitamin D3","ST04"
"4","CE_d7.17:1__Pp",-1.27739717286136,-15.6904972404006,-0.556789147231793,0.582837992293788,0.732638685777505,-6.78295521910687,"CE_d7.17:1__Pp",26,-0.557247201117066,0.582518868837449,0.732671259375461,"CE_d7 17:1","CE(d7 17:1)","CE_d7","C44 H69 O2",629.5294,13.69,"Sterol lipids ","ST","Cholesteryl ester","Cholesteryl esters ","ST0102"
"5","CE.14:1__Pp",-9.58144383519855,-11.0841866579425,-3.16027867666624,0.00423489940832455,0.0298320377265199,-2.64134991090096,"CE.14:1__Pp",26,-3.16322947807035,0.00419766762203838,0.0292579946829501,"CE 14:1","CE 14:1","CE","C41 H70 O2",594.5373,13.01,"Sterol lipids ","ST","Cholesteryl ester","Cholesteryl esters ","ST0102"
"6","CE.16:1__Pp",-5.94293704128439,-3.61486706974118,-2.31810306012422,0.0293052486163322,0.107110809634255,-4.44228192205441,"CE.16:1__Pp",26,-2.32013005044166,0.0291573489534842,0.10806455411101,"CE 16:1","CE 16:1","CE","C43 H74 O2",622.5689,13.69,"Sterol lipids ","ST","Cholesteryl ester","Cholesteryl esters ","ST0102"
"7","CE.22:1__Pp",-6.51364953384962,-7.06946118930552,-2.13167016414532,0.0434960254573582,0.142617953893986,-4.7963447711543,"CE.22:1__Pp",26,-2.13366546390447,0.0432927995160278,0.141156354724528,"CE 22:1","CE 22:1","CE","C49 H86 O2",706.6627,14.61,"Sterol lipids ","ST","Cholesteryl ester","Cholesteryl esters ","ST0102"
"8","CE.24:1__Pp",-7.54840269926004,-13.6033671766589,-3.2474568727586,0.00342939982662437,0.0253927897951286,-2.44033809477618,"CE.24:1__Pp",26,-3.25015022671195,0.00340072736816279,0.0251579035760308,"CE 24:1","CE 24:1","CE","C51 H90 O2",734.6941,14.7,"Sterol lipids ","ST","Cholesteryl ester","Cholesteryl esters ","ST0102"
"9","Cer_ADS.d16:0_13:0__Np",0.452201236200289,-1.18972839276835,2.72007619007484,0.0119565102466002,0.0613100349208928,-3.61879849049031,"Cer_ADS.d16:0_13:0__Np",26,2.5975774069203,0.0157906448127043,0.0772281956386043,"Cer_ADS d16:0_13:0","Cer ADS d16:0 13:0","Cer_ADS","C29 H59 N O4",485.4444,5.87,"Sphingolipids ","SP","Ceramides","Ceramide α-hydroxy fatty acid-dihydrosphingosine",""
"10","Cer_ADS.d16:0_14:0__Np",0.248784884846408,1.00354957085683,0.978871000901091,0.332269141184552,0.537915549845367,-6.80448552660271,"Cer_ADS.d16:0_14:0__Np",53,0.981094517784166,0.331177535499537,0.536895057550781,"Cer_ADS d16:0_14:0","Cer ADS d16:0 14:0","Cer_ADS","C30 H61 N O4",499.46,6.33,"Sphingolipids ","SP","Ceramides","Ceramide α-hydroxy fatty acid-dihydrosphingosine",""
"11","Cer_ADS.d16:0_14:0__Np",0.248784884846408,1.00354957085683,0.978871000901091,0.332269141184552,0.537915549845367,-6.80448552660271,"Cer_ADS.d16:0_14:0__Np",53,0.981094517784166,0.331177535499537,0.536895057550781,"Cer_ADS d16:0_14:0","Cer ADS d16:0 14:0","Cer_ADS","C30 H61 N O4",499.46,6.34,"Sphingolipids ","SP","Ceramides","Ceramide α-hydroxy fatty acid-dihydrosphingosine",""
"12","Cer_ADS.d16:0_16:0__Np",0.113879573958465,5.09941631302635,0.73805511979061,0.463867101665074,0.642787269450174,-7.01124290695457,"Cer_ADS.d16:0_16:0__Np",53,0.741976284265184,0.461505224295227,0.643605074739064,"Cer_ADS d16:0_16:0","Cer ADS d16:0 16:0","Cer_ADS","C32 H65 N O4",527.4915,7.34,"Sphingolipids ","SP","Ceramides","Ceramide α-hydroxy fatty acid-dihydrosphingosine",""
"13","Cer_ADS.d16:0_16:0__Np",0.113879573958465,5.09941631302635,0.73805511979061,0.463867101665074,0.642787269450174,-7.01124290695457,"Cer_ADS.d16:0_16:0__Np",53,0.741976284265184,0.461505224295227,0.643605074739064,"Cer_ADS d16:0_16:0","Cer ADS d16:0 16:0","Cer_ADS","C32 H65 N O4",527.4915,7.33,"Sphingolipids ","SP","Ceramides","Ceramide α-hydroxy fatty acid-dihydrosphingosine",""
"14","Cer_ADS.d16:0_24:0__Np",0.278815290120931,0.482721669378478,1.28974256327014,0.208968521547992,0.396801564570739,-6.11239887649885,"Cer_ADS.d16:0_24:0__Np",27,1.29953418698736,0.205616983394761,0.395427161022593,"Cer_ADS d16:0_24:0","Cer ADS d16:0 24:0","Cer_ADS","C40 H81 N O4",639.6159,10.04,"Sphingolipids ","SP","Ceramides","Ceramide α-hydroxy fatty acid-dihydrosphingosine",""
"15","Cer_ADS.d16:0_24:0__Np",0.278815290120931,0.482721669378478,1.28974256327014,0.208968521547992,0.396801564570739,-6.11239887649885,"Cer_ADS.d16:0_24:0__Np",27,1.29953418698736,0.205616983394761,0.395427161022593,"Cer_ADS d16:0_24:0","Cer ADS d16:0 24:0","Cer_ADS","C40 H81 N O4",639.6167,10.99,"Sphingolipids ","SP","Ceramides","Ceramide α-hydroxy fatty acid-dihydrosphingosine",""
"16","Cer_ADS.d16:0_24:0_1__Np",0.648679744334113,4.72592891690867,6.95247586028543,2.77894181607924e-07,2.69557356159686e-05,6.8103014926816,"Cer_ADS.d16:0_24:0_1__Np",27,7.21531571932013,1.46282210591447e-07,1.54030793168098e-05,"Cer_ADS d16:0_24:0_1","Cer ADS d16:0 24:0","Cer_ADS","C40 H81 N O4",639.6167,10.99,"Sphingolipids ","SP","Ceramides","Ceramide α-hydroxy fatty acid-dihydrosphingosine",""
"17","Cer_ADS.d17:0_14:0__Np",0.0307855025846466,5.04836884412904,0.126138431790611,0.900675381346332,0.949625130332546,-6.93371157676961,"Cer_ADS.d17:0_14:0__Np",26,0.123473302430915,0.902760555691454,0.951413786672297,"Cer_ADS d17:0_14:0","Cer ADS d17:0 14:0","Cer_ADS","C31 H63 N O4",513.4759,6.83,"Sphingolipids ","SP","Ceramides","Ceramide α-hydroxy fatty acid-dihydrosphingosine",""
"18","Cer_ADS.d17:0_16:0__Np",0.0142091474114308,6.18604159158868,0.099391051709437,0.92121784002521,0.957408540883343,-7.28118793864963,"Cer_ADS.d17:0_16:0__Np",53,0.0999984745101134,0.920737598099935,0.956909432311004,"Cer_ADS d17:0_16:0","Cer ADS d17:0 16:0","Cer_ADS","C33 H67 N O4",541.5072,7.85,"Sphingolipids ","SP","Ceramides","Ceramide α-hydroxy fatty acid-dihydrosphingosine",""
"19","Cer_ADS.d17:0_16:0__Np",0.0142091474114308,6.18604159158868,0.099391051709437,0.92121784002521,0.957408540883343,-7.28118793864963,"Cer_ADS.d17:0_16:0__Np",53,0.0999984745101134,0.920737598099935,0.956909432311004,"Cer_ADS d17:0_16:0","Cer ADS d17:0 16:0","Cer_ADS","C33 H67 N O4",541.5074,7.87,"Sphingolipids ","SP","Ceramides","Ceramide α-hydroxy fatty acid-dihydrosphingosine",""
"20","Cer_ADS.d18:0_16:0__Np",0.159440260790008,6.43137892757844,1.07508512840751,0.287401734670011,0.487661252413837,-6.7062470940734,"Cer_ADS.d18:0_16:0__Np",53,1.08122596767814,0.284682902541551,0.485832976191079,"Cer_ADS d18:0_16:0","Cer ADS d18:0 16:0","Cer_ADS","C34 H69 N O4",555.5229,8.32,"Sphingolipids ","SP","Ceramides","Ceramide α-hydroxy fatty acid-dihydrosphingosine",""
"21","Cer_ADS.d18:0_16:0__Np",0.159440260790008,6.43137892757844,1.07508512840751,0.287401734670011,0.487661252413837,-6.7062470940734,"Cer_ADS.d18:0_16:0__Np",53,1.08122596767814,0.284682902541551,0.485832976191079,"Cer_ADS d18:0_16:0","Cer ADS d18:0 16:0","Cer_ADS","C34 H69 N O4",555.5229,8.33,"Sphingolipids ","SP","Ceramides","Ceramide α-hydroxy fatty acid-dihydrosphingosine",""
