Pig,Pair,Sample,DNAconc [ng/µl],LHKC,PMAxx,PMAxxConcentration,Group
P1,P1-C-05,P1-C-05,5.03,CHG,Untreated,5,CHG Untreated 5
P1,P1-C-05,P1-C-05p,4.26,CHG,PMAxx,5,CHG PMAxx 5
P1,P1-C-10,P1-C-10,4.84,CHG,Untreated,10,CHG Untreated 10
P1,P1-C-10,P1-C-10p,4.35,CHG,PMAxx,10,CHG PMAxx 10
P1,P1-C-25,P1-C-25,3.83,CHG,Untreated,25,CHG Untreated 25
P1,P1-C-25,P1-C-25p,3.06,CHG,PMAxx,25,CHG PMAxx 25
P1,P1-C-50,P1-C-50,3.64,CHG,Untreated,50,CHG Untreated 50
P1,P1-C-50,P1-C-50p,2.98,CHG,PMAxx,50,CHG PMAxx 50
P1,P1-K-05,P1-K-05,3.48,HeatKilled,Untreated,5,HeatKilled Untreated 5
P1,P1-K-05,P1-K-05p,3.4,HeatKilled,PMAxx,5,HeatKilled PMAxx 5
P1,P1-K-10,P1-K-10,3.54,HeatKilled,Untreated,10,HeatKilled Untreated 10
P1,P1-K-10,P1-K-10p,2.68,HeatKilled,PMAxx,10,HeatKilled PMAxx 10
P1,P1-K-25,P1-K-25,5.71,HeatKilled,Untreated,25,HeatKilled Untreated 25
P1,P1-K-25,P1-K-25p,5.07,HeatKilled,PMAxx,25,HeatKilled PMAxx 25
P1,P1-K-50,P1-K-50,4.74,HeatKilled,Untreated,50,HeatKilled Untreated 50
P1,P1-K-50,P1-K-50p,3.8,HeatKilled,PMAxx,50,HeatKilled PMAxx 50
P1,P1-L-05,P1-L-05,3.89,Live,Untreated,5,Live Untreated 5
P1,P1-L-05,P1-L-05p,3.64,Live,PMAxx,5,Live PMAxx 5
P1,P1-L-10,P1-L-10,3.67,Live,Untreated,10,Live Untreated 10
P1,P1-L-10,P1-L-10p,3.9,Live,PMAxx,10,Live PMAxx 10
P1,P1-L-25,P1-L-25,5.12,Live,Untreated,25,Live Untreated 25
P1,P1-L-25,P1-L-25p,5.02,Live,PMAxx,25,Live PMAxx 25
P1,P1-L-50,P1-L-50,3.04,Live,Untreated,50,Live Untreated 50
P1,P1-L-50,P1-L-50p,3.31,Live,PMAxx,50,Live PMAxx 50
P2,P2-C-05,P2-C-05,7.56,CHG,Untreated,5,CHG Untreated 5
P2,P2-C-05,P2-C-05p,7.01,CHG,PMAxx,5,CHG PMAxx 5
P2,P2-C-10,P2-C-10,5.37,CHG,Untreated,10,CHG Untreated 10
P2,P2-C-10,P2-C-10p,5.13,CHG,PMAxx,10,CHG PMAxx 10
P2,P2-C-25,P2-C-25,4.69,CHG,Untreated,25,CHG Untreated 25
P2,P2-C-25,P2-C-25p,4.42,CHG,PMAxx,25,CHG PMAxx 25
P2,P2-C-50,P2-C-50,2.48,CHG,Untreated,50,CHG Untreated 50
P2,P2-C-50,P2-C-50p,2.05,CHG,PMAxx,50,CHG PMAxx 50
P2,P2-K-05,P2-K-05,5.7,HeatKilled,Untreated,5,HeatKilled Untreated 5
P2,P2-K-05,P2-K-05p,5.17,HeatKilled,PMAxx,5,HeatKilled PMAxx 5
P2,P2-K-10,P2-K-10,5.77,HeatKilled,Untreated,10,HeatKilled Untreated 10
P2,P2-K-10,P2-K-10p,5.12,HeatKilled,PMAxx,10,HeatKilled PMAxx 10
P2,P2-K-25,P2-K-25,3.81,HeatKilled,Untreated,25,HeatKilled Untreated 25
P2,P2-K-25,P2-K-25p,3.37,HeatKilled,PMAxx,25,HeatKilled PMAxx 25
P2,P2-K-50,P2-K-50,8.01,HeatKilled,Untreated,50,HeatKilled Untreated 50
P2,P2-K-50,P2-K-50p,5.89,HeatKilled,PMAxx,50,HeatKilled PMAxx 50
P2,P2-L-05,P2-L-05,3.73,Live,Untreated,5,Live Untreated 5
P2,P2-L-05,P2-L-05p,3.43,Live,PMAxx,5,Live PMAxx 5
P2,P2-L-10,P2-L-10,5.06,Live,Untreated,10,Live Untreated 10
P2,P2-L-10,P2-L-10p,4.89,Live,PMAxx,10,Live PMAxx 10
P2,P2-L-25,P2-L-25,4.34,Live,Untreated,25,Live Untreated 25
P2,P2-L-25,P2-L-25p,3.94,Live,PMAxx,25,Live PMAxx 25
P2,P2-L-50,P2-L-50,4.11,Live,Untreated,50,Live Untreated 50
P2,P2-L-50,P2-L-50p,3.82,Live,PMAxx,50,Live PMAxx 50
P3,P3-C-05,P3-C-05,2.23,CHG,Untreated,5,CHG Untreated 5
P3,P3-C-05P,P3-C-05P,2.25,CHG,PMAxx,5,CHG PMAxx 5
P3,P3-C-10,P3-C-10,2.46,CHG,Untreated,10,CHG Untreated 10
P3,P3-C-10,P3-C-10p,2.27,CHG,PMAxx,10,CHG PMAxx 10
P3,P3-C-25,P3-C-25,2.24,CHG,Untreated,25,CHG Untreated 25
P3,P3-C-25,P3-C-25p,0.554,CHG,PMAxx,25,CHG PMAxx 25
P3,P3-C-50,P3-C-50,2.19,CHG,Untreated,50,CHG Untreated 50
P3,P3-C-50,P3-C-50p,0.784,CHG,PMAxx,50,CHG PMAxx 50
P3,P3-K-05,P3-K-05,2.39,HeatKilled,Untreated,5,HeatKilled Untreated 5
P3,P3-K-05,P3-K-05p,0.432,HeatKilled,PMAxx,5,HeatKilled PMAxx 5
P3,P3-K-10,P3-K-10,2.92,HeatKilled,Untreated,10,HeatKilled Untreated 10
P3,P3-K-10,P3-K-10p,2.61,HeatKilled,PMAxx,10,HeatKilled PMAxx 10
P3,P3-K-25,P3-K-25,2.93,HeatKilled,Untreated,25,HeatKilled Untreated 25
P3,P3-K-25,P3-K-25p,2.76,HeatKilled,PMAxx,25,HeatKilled PMAxx 25
P3,P3-K-50,P3-K-50,2.22,HeatKilled,Untreated,50,HeatKilled Untreated 50
P3,P3-K-50,P3-K-50p,1.91,HeatKilled,PMAxx,50,HeatKilled PMAxx 50
P3,P3-L-05,P3-L-05,2.8,Live,Untreated,5,Live Untreated 5
P3,P3-L-05,P3-L-05p,2.75,Live,PMAxx,5,Live PMAxx 5
P3,P3-L-10,P3-L-10,2.24,Live,Untreated,10,Live Untreated 10
P3,P3-L-10,P3-L-10p,2.44,Live,PMAxx,10,Live PMAxx 10
P3,P3-L-25,P3-L-25,2.47,Live,Untreated,25,Live Untreated 25
P3,P3-L-25,P3-L-25p,2.11,Live,PMAxx,25,Live PMAxx 25
P3,P3-L-50,P3-L-50,2.64,Live,Untreated,50,Live Untreated 50
P3,P3-L-50,P3-L-50p,2.67,Live,PMAxx,50,Live PMAxx 50
