CompoundID,CompoundName
25-hydroxycholecalciferol__Pp,25-hydroxycholecalciferol
ASG.28:2;O;Hex;FA.21:3__Pp,ASG 28:2;O;Hex;FA 21:3
C17-carnitine(d3)__Pp,C17-carnitine(d3)
CE_d7.17:1__Pp,CE_d7 17:1
CE.14:1__Pp,CE 14:1
CE.16:1__Pp,CE 16:1
CE.22:1__Pp,CE 22:1
CE.24:1__Pp,CE 24:1
Cer_ADS.d16:0_13:0__Np,Cer_ADS d16:0_13:0
Cer_ADS.d16:0_14:0__Np,Cer_ADS d16:0_14:0
Cer_ADS.d16:0_14:0__Np,Cer_ADS d16:0_14:0
Cer_ADS.d16:0_16:0__Np,Cer_ADS d16:0_16:0
Cer_ADS.d16:0_16:0__Np,Cer_ADS d16:0_16:0
Cer_ADS.d16:0_24:0__Np,Cer_ADS d16:0_24:0
Cer_ADS.d16:0_24:0_1__Np,Cer_ADS d16:0_24:0_1
Cer_ADS.d17:0_14:0__Np,Cer_ADS d17:0_14:0
Cer_ADS.d17:0_16:0__Np,Cer_ADS d17:0_16:0
Cer_ADS.d17:0_16:0__Np,Cer_ADS d17:0_16:0
Cer_ADS.d18:0_16:0__Np,Cer_ADS d18:0_16:0
Cer_ADS.d18:0_16:0__Np,Cer_ADS d18:0_16:0
Cer_ADS.d18:0_25:0__Np,Cer_ADS d18:0_25:0
Cer_ADS.d19:0_16:0__Np,Cer_ADS d19:0_16:0
Cer_ADS.d19:0_16:0__Np,Cer_ADS d19:0_16:0
Cer_ADS.d19:0_26:0__Np,Cer_ADS d19:0_26:0
Cer_ADS.d19:0_29:0__Np,Cer_ADS d19:0_29:0
Cer_ADS.d20:0_22:0__Np,Cer_ADS d20:0_22:0
Cer_ADS.d20:0_24:0__Np,Cer_ADS d20:0_24:0
Cer_ADS.d21:0_18:0__Np,Cer_ADS d21:0_18:0
Cer_ADS.d22:0_14:0__Np,Cer_ADS d22:0_14:0
Cer_ADS.d22:0_14:0__Np,Cer_ADS d22:0_14:0
Cer_ADS.d22:0_16:0__Np,Cer_ADS d22:0_16:0
Cer_ADS.d23:0_13:0__Np,Cer_ADS d23:0_13:0
Cer_ADS.d26:0_13:0__Np,Cer_ADS d26:0_13:0
Cer_ADS.d26:0_15:1__Np,Cer_ADS d26:0_15:1
Cer_ADS.d30:0__Np,Cer_ADS d30:0
Cer_ADS.d30:0_21:0__Np,Cer_ADS d30:0_21:0
Cer_ADS.d30:0_22:1__Np,Cer_ADS d30:0_22:1
Cer_ADS.d31:0__Np,Cer_ADS d31:0
Cer_ADS.d31:0_1__Np,Cer_ADS d31:0_1
Cer_ADS.d32:0__Np,Cer_ADS d32:0
Cer_ADS.d32:0__Np,Cer_ADS d32:0
Cer_ADS.d32:1__Np,Cer_ADS d32:1
Cer_ADS.d33:0__Np,Cer_ADS d33:0
Cer_ADS.d33:1__Np,Cer_ADS d33:1
Cer_ADS.d34:1__Np,Cer_ADS d34:1
Cer_ADS.d36:0__Np,Cer_ADS d36:0
Cer_ADS.d36:0__Np,Cer_ADS d36:0
Cer_ADS.d37:0__Np,Cer_ADS d37:0
Cer_ADS.d37:0__Np,Cer_ADS d37:0
Cer_ADS.d37:0_1__Np,Cer_ADS d37:0_1
Cer_ADS.d37:0_2__Np,Cer_ADS d37:0_2
Cer_ADS.d38:0__Np,Cer_ADS d38:0
Cer_ADS.d38:0__Np,Cer_ADS d38:0
Cer_ADS.d38:0_1__Np,Cer_ADS d38:0_1
Cer_ADS.d38:0_1__Np,Cer_ADS d38:0_1
Cer_ADS.d38:1__Np,Cer_ADS d38:1
Cer_ADS.d39:0__Np,Cer_ADS d39:0
Cer_ADS.d39:0__Np,Cer_ADS d39:0
Cer_ADS.d39:0_1__Np,Cer_ADS d39:0_1
Cer_ADS.d40:0__Np,Cer_ADS d40:0
Cer_ADS.d40:0__Np,Cer_ADS d40:0
Cer_ADS.d40:0_1__Np,Cer_ADS d40:0_1
Cer_ADS.d40:1__Np,Cer_ADS d40:1
