sample-id	forward-absolute-filepath	reverse-absolute-filepath	16S-ID	ITS-ID	Pig	PMAxxSample	PmaxxGroup	Group	TimeGroup	WaterCHG	Timepoint	Time	PMAxx
LK16S005-001	/Users/liztown/Documents/KalanLab/Sequencing/16S/LK16S005/LK16S005-001_S1_L001_R1_001.fastq.gz	/Users/liztown/Documents/KalanLab/Sequencing/16S/LK16S005/LK16S005-001_S1_L001_R2_001.fastq.gz	LK16S005-001	LK16S005-001	P1	1.WB.1	Water	Water-B	W-B	Water	Baseline	-12	Untreated
LK16S005-002	/Users/liztown/Documents/KalanLab/Sequencing/16S/LK16S005/LK16S005-002_S2_L001_R1_001.fastq.gz	/Users/liztown/Documents/KalanLab/Sequencing/16S/LK16S005/LK16S005-002_S2_L001_R2_001.fastq.gz	LK16S005-002	LK16S005-002	P1	1.CB.1	CHG	CHG-B	C-B	CHG	Baseline	-12	Untreated
LK16S005-003	/Users/liztown/Documents/KalanLab/Sequencing/16S/LK16S005/LK16S005-003_S3_L001_R1_001.fastq.gz	/Users/liztown/Documents/KalanLab/Sequencing/16S/LK16S005/LK16S005-003_S3_L001_R2_001.fastq.gz	LK16S005-003	LK16S005-003	P1	1.FB.1	Full	Full-B	F-B	Full	Baseline	-12	Untreated
LK16S005-004	/Users/liztown/Documents/KalanLab/Sequencing/16S/LK16S005/LK16S005-004_S4_L001_R1_001.fastq.gz	/Users/liztown/Documents/KalanLab/Sequencing/16S/LK16S005/LK16S005-004_S4_L001_R2_001.fastq.gz	LK16S005-004	LK16S005-004	P1	1.WBp.1	Waterp	Water-B-PMAxx	W-B	Water	Baseline	-12	PMAxx
LK16S005-005	/Users/liztown/Documents/KalanLab/Sequencing/16S/LK16S005/LK16S005-005_S5_L001_R1_001.fastq.gz	/Users/liztown/Documents/KalanLab/Sequencing/16S/LK16S005/LK16S005-005_S5_L001_R2_001.fastq.gz	LK16S005-005	LK16S005-005	P1	1.CBp.1	CHGp	CHG-B-PMAxx	C-B	CHG	Baseline	-12	PMAxx
LK16S005-006	/Users/liztown/Documents/KalanLab/Sequencing/16S/LK16S005/LK16S005-006_S6_L001_R1_001.fastq.gz	/Users/liztown/Documents/KalanLab/Sequencing/16S/LK16S005/LK16S005-006_S6_L001_R2_001.fastq.gz	LK16S005-006	LK16S005-006	P1	1.FBp.1	Fullp	Full-B-PMAxx	F-B	Full	Baseline	-12	PMAxx
LK16S005-007	/Users/liztown/Documents/KalanLab/Sequencing/16S/LK16S005/LK16S005-007_S7_L001_R1_001.fastq.gz	/Users/liztown/Documents/KalanLab/Sequencing/16S/LK16S005/LK16S005-007_S7_L001_R2_001.fastq.gz	LK16S005-007	LK16S005-007	P1	1.W0.1	Water	Water-0	W-0	Water	0 hr	0	Untreated
LK16S005-008	/Users/liztown/Documents/KalanLab/Sequencing/16S/LK16S005/LK16S005-008_S8_L001_R1_001.fastq.gz	/Users/liztown/Documents/KalanLab/Sequencing/16S/LK16S005/LK16S005-008_S8_L001_R2_001.fastq.gz	LK16S005-008	LK16S005-008	P1	1.W0.2	Water	Water-0	W-0	Water	0 hr	0	Untreated
LK16S005-009	/Users/liztown/Documents/KalanLab/Sequencing/16S/LK16S005/LK16S005-009_S9_L001_R1_001.fastq.gz	/Users/liztown/Documents/KalanLab/Sequencing/16S/LK16S005/LK16S005-009_S9_L001_R2_001.fastq.gz	LK16S005-009	LK16S005-009	P1	1.W0.3	Water	Water-0	W-0	Water	0 hr	0	Untreated
LK16S005-010	/Users/liztown/Documents/KalanLab/Sequencing/16S/LK16S005/LK16S005-010_S10_L001_R1_001.fastq.gz	/Users/liztown/Documents/KalanLab/Sequencing/16S/LK16S005/LK16S005-010_S10_L001_R2_001.fastq.gz	LK16S005-010	LK16S005-010	P1	1.W0p.1	Waterp	Water-0-PMAxx	Wp-0	Water	0 hr	0	PMAxx
