sample-id	forward-absolute-filepath	reverse-absolute-filepath	16S-ID	ITS-ID	Run	Pig	PMAxxSample	PmaxxGroup	Group	TimeGroup	WaterCHG	Timepoint	Time	PMAxx
LK16S008-001	/Users/liztown/Documents/KalanLab/Sequencing/16S/LK16S008/LK16S008-001_S1_L001_R1_001.fastq.gz	/Users/liztown/Documents/KalanLab/Sequencing/16S/LK16S008/LK16S008-001_S1_L001_R2_001.fastq.gz	LK16S008-001	LKITS005-001	LK16S008_Plate1	P2	2.WB.1	Water	Water-B	W-B	Water	Baseline	-12	Untreated
LK16S008-002	/Users/liztown/Documents/KalanLab/Sequencing/16S/LK16S008/LK16S008-002_S2_L001_R1_001.fastq.gz	/Users/liztown/Documents/KalanLab/Sequencing/16S/LK16S008/LK16S008-002_S2_L001_R2_001.fastq.gz	LK16S008-002	LKITS005-002	LK16S008_Plate1	P2	2.WB.2	Water	Water-B	W-B	Water	Baseline	-12	Untreated
LK16S008-003	/Users/liztown/Documents/KalanLab/Sequencing/16S/LK16S008/LK16S008-003_S3_L001_R1_001.fastq.gz	/Users/liztown/Documents/KalanLab/Sequencing/16S/LK16S008/LK16S008-003_S3_L001_R2_001.fastq.gz	LK16S008-003	LKITS005-003	LK16S008_Plate1	P2	2.F0.1	Full	Full-0	F-0	Full	Post Tx	0	Untreated
LK16S008-004	/Users/liztown/Documents/KalanLab/Sequencing/16S/LK16S008/LK16S008-004_S4_L001_R1_001.fastq.gz	/Users/liztown/Documents/KalanLab/Sequencing/16S/LK16S008/LK16S008-004_S4_L001_R2_001.fastq.gz	LK16S008-004	LKITS005-004	LK16S008_Plate1	P2	2.F0p.1	Fullp	Full-0-PMAxx	F-0	Full	Post Tx	0	PMAxx
LK16S008-005	/Users/liztown/Documents/KalanLab/Sequencing/16S/LK16S008/LK16S008-005_S5_L001_R1_001.fastq.gz	/Users/liztown/Documents/KalanLab/Sequencing/16S/LK16S008/LK16S008-005_S5_L001_R2_001.fastq.gz	LK16S008-005	LKITS005-005	LK16S008_Plate1	P2	2.W12.1	Water	Water-12	W-12	Water	12 hr	12	Untreated
LK16S008-006	/Users/liztown/Documents/KalanLab/Sequencing/16S/LK16S008/LK16S008-006_S6_L001_R1_001.fastq.gz	/Users/liztown/Documents/KalanLab/Sequencing/16S/LK16S008/LK16S008-006_S6_L001_R2_001.fastq.gz	LK16S008-006	LKITS005-006	LK16S008_Plate1	P2	2.W12p.1	Waterp	Water-12-PMAxx	W-12	Water	12 hr	12	PMAxx
LK16S008-007	/Users/liztown/Documents/KalanLab/Sequencing/16S/LK16S008/LK16S008-007_S7_L001_R1_001.fastq.gz	/Users/liztown/Documents/KalanLab/Sequencing/16S/LK16S008/LK16S008-007_S7_L001_R2_001.fastq.gz	LK16S008-007	LKITS005-007	LK16S008_Plate1	P2	2.C24.1	CHG	CHG-24	C-24	CHG	24 hr	24	Untreated
LK16S008-008	/Users/liztown/Documents/KalanLab/Sequencing/16S/LK16S008/LK16S008-008_S8_L001_R1_001.fastq.gz	/Users/liztown/Documents/KalanLab/Sequencing/16S/LK16S008/LK16S008-008_S8_L001_R2_001.fastq.gz	LK16S008-008	LKITS005-008	LK16S008_Plate1	P2	2.C24p.1	CHGp	CHG-24-PMAxx	C-24	CHG	24 hr	24	PMAxx
LK16S008-009	/Users/liztown/Documents/KalanLab/Sequencing/16S/LK16S008/LK16S008-009_S9_L001_R1_001.fastq.gz	/Users/liztown/Documents/KalanLab/Sequencing/16S/LK16S008/LK16S008-009_S9_L001_R2_001.fastq.gz	LK16S008-009	LKITS005-009	LK16S008_Plate1	P2	2.WBp.1	Waterp	Water-B-PMAxx	W-B	Water	Baseline	-12	PMAxx
LK16S008-010	/Users/liztown/Documents/KalanLab/Sequencing/16S/LK16S008/LK16S008-010_S10_L001_R1_001.fastq.gz	/Users/liztown/Documents/KalanLab/Sequencing/16S/LK16S008/LK16S008-010_S10_L001_R2_001.fastq.gz	LK16S008-010	LKITS005-010	LK16S008_Plate1	P2	2.WBp.2	Waterp	Water-B-PMAxx	W-B	Water	Baseline	-12	PMAxx
