sample-id	forward-absolute-filepath	reverse-absolute-filepath	16S-ID	ITS-ID	Run	Pig	PMAxxSample	PmaxxGroup	Group	TimeGroup	WaterCHG	Timepoint	Time	PMAxx
LK16S008-097	/Users/liztown/Documents/KalanLab/Sequencing/16S/LK16S008/LK16S008-097_S1_L001_R1_001.fastq.gz	/Users/liztown/Documents/KalanLab/Sequencing/16S/LK16S008/LK16S008-097_S1_L001_R2_001.fastq.gz	LK16S008-097	LKITS005-097	LK16S008_plate2	P2	2.F48.1	Full	Full-48	F-48	Full	48 hr	48	Untreated
LK16S008-098	/Users/liztown/Documents/KalanLab/Sequencing/16S/LK16S008/LK16S008-098_S2_L001_R1_001.fastq.gz	/Users/liztown/Documents/KalanLab/Sequencing/16S/LK16S008/LK16S008-098_S2_L001_R2_001.fastq.gz	LK16S008-098	LKITS005-098	LK16S008_plate2	P2	2.F48p.1	Fullp	Full-48-PMAxx	F-48	Full	48 hr	48	PMAxx
LK16S008-099	/Users/liztown/Documents/KalanLab/Sequencing/16S/LK16S008/LK16S008-099_S3_L001_R1_001.fastq.gz	/Users/liztown/Documents/KalanLab/Sequencing/16S/LK16S008/LK16S008-099_S3_L001_R2_001.fastq.gz	LK16S008-099	LKITS005-099	LK16S008_plate2	P3	3.C0.1	CHG	CHG-0	C-0	CHG	Post Tx	0	Untreated
LK16S008-100	/Users/liztown/Documents/KalanLab/Sequencing/16S/LK16S008/LK16S008-100_S4_L001_R1_001.fastq.gz	/Users/liztown/Documents/KalanLab/Sequencing/16S/LK16S008/LK16S008-100_S4_L001_R2_001.fastq.gz	LK16S008-100	LKITS005-100	LK16S008_plate2	P3	3.C0p.1	CHGp	CHG-0-PMAxx	C-0	CHG	Post Tx	0	PMAxx
LK16S008-101	/Users/liztown/Documents/KalanLab/Sequencing/16S/LK16S008/LK16S008-101_S5_L001_R1_001.fastq.gz	/Users/liztown/Documents/KalanLab/Sequencing/16S/LK16S008/LK16S008-101_S5_L001_R2_001.fastq.gz	LK16S008-101	LKITS005-101	LK16S008_plate2	P3	3.F06.1	Full	Full-06	F-06	Full	6 hr	6	Untreated
LK16S008-102	/Users/liztown/Documents/KalanLab/Sequencing/16S/LK16S008/LK16S008-102_S6_L001_R1_001.fastq.gz	/Users/liztown/Documents/KalanLab/Sequencing/16S/LK16S008/LK16S008-102_S6_L001_R2_001.fastq.gz	LK16S008-102	LKITS005-102	LK16S008_plate2	P3	3.F06p.1	Fullp	Full-06-PMAxx	F-06	Full	6 hr	6	PMAxx
LK16S008-103	/Users/liztown/Documents/KalanLab/Sequencing/16S/LK16S008/LK16S008-103_S7_L001_R1_001.fastq.gz	/Users/liztown/Documents/KalanLab/Sequencing/16S/LK16S008/LK16S008-103_S7_L001_R2_001.fastq.gz	LK16S008-103	LKITS005-103	LK16S008_plate2	P3	3.W24.1	Water	Water-24	W-24	Water	24 hr	24	Untreated
LK16S008-104	/Users/liztown/Documents/KalanLab/Sequencing/16S/LK16S008/LK16S008-104_S8_L001_R1_001.fastq.gz	/Users/liztown/Documents/KalanLab/Sequencing/16S/LK16S008/LK16S008-104_S8_L001_R2_001.fastq.gz	LK16S008-104	LKITS005-104	LK16S008_plate2	P3	3.W24p.1	Waterp	Water-24-PMAxx	W-24	Water	24 hr	24	PMAxx
LK16S008-105	/Users/liztown/Documents/KalanLab/Sequencing/16S/LK16S008/LK16S008-105_S9_L001_R1_001.fastq.gz	/Users/liztown/Documents/KalanLab/Sequencing/16S/LK16S008/LK16S008-105_S9_L001_R2_001.fastq.gz	LK16S008-105	LKITS005-105	LK16S008_plate2	P2	2.F48.2	Full	Full-48	F-48	Full	48 hr	48	Untreated
LK16S008-106	/Users/liztown/Documents/KalanLab/Sequencing/16S/LK16S008/LK16S008-106_S10_L001_R1_001.fastq.gz	/Users/liztown/Documents/KalanLab/Sequencing/16S/LK16S008/LK16S008-106_S10_L001_R2_001.fastq.gz	LK16S008-106	LKITS005-106	LK16S008_plate2	P2	2.F48p.2	Fullp	Full-48-PMAxx	F-48	Full	48 hr	48	PMAxx
LK16S008-107	/Users/liztown/Documents/KalanLab/Sequencing/16S/LK16S008/LK16S008-107_S11_L001_R1_001.fastq.gz	/Users/liztown/Documents/KalanLab/Sequencing/16S/LK16S008/LK16S008-107_S11_L001_R2_001.fastq.gz	LK16S008-107	LKITS005-107	LK16S008_plate2	P3	3.C0.2	CHG	CHG-0	C-0	CHG	Post Tx	0	Untreated
LK16S008-108	/Users/liztown/Documents/KalanLab/Sequencing/16S/LK16S008/LK16S008-108_S12_L001_R1_001.fastq.gz	/Users/liztown/Documents/KalanLab/Sequencing/16S/LK16S008/LK16S008-108_S12_L001_R2_001.fastq.gz	LK16S008-108	LKITS005-108	LK16S008_plate2	P3	3.C0p.2	CHGp	CHG-0-PMAxx	C-0	CHG	Post Tx	0	PMAxx
