sample-id	forward-absolute-filepath	reverse-absolute-filepath	16S-ID	Run	Pig	PMAxxSample	PmaxxGroup	Group	TimeGroup	WaterCHG	Timepoint	Time	PMAxx
LK16S011-369	/Users/liztown/Documents/KalanLab/Sequencing/16S/LK16S011/230721_L5PK5/LK16S011-369_S369_L001_R1_001.fastq.gz	/Users/liztown/Documents/KalanLab/Sequencing/16S/LK16S011/230721_L5PK5/LK16S011-369_S369_L001_R2_001.fastq.gz	LK16S011-369	LK16S011	Pig3	3.WBp.1	Waterp	Water-B-PMAxx	W-B	Water	Baseline	-12	PMAxx
LK16S011-370	/Users/liztown/Documents/KalanLab/Sequencing/16S/LK16S011/230721_L5PK5/LK16S011-370_S370_L001_R1_001.fastq.gz	/Users/liztown/Documents/KalanLab/Sequencing/16S/LK16S011/230721_L5PK5/LK16S011-370_S370_L001_R2_001.fastq.gz	LK16S011-370	LK16S011	Pig3	3.WBp.2	Waterp	Water-B-PMAxx	W-B	Water	Baseline	-12	PMAxx
LK16S011-371	/Users/liztown/Documents/KalanLab/Sequencing/16S/LK16S011/230721_L5PK5/LK16S011-371_S371_L001_R1_001.fastq.gz	/Users/liztown/Documents/KalanLab/Sequencing/16S/LK16S011/230721_L5PK5/LK16S011-371_S371_L001_R2_001.fastq.gz	LK16S011-371	LK16S011	Pig3	3.C0p.1	CHGp	CHG-0-PMAxx	C-0	CHG	0 hr	0	PMAxx
LK16S011-372	/Users/liztown/Documents/KalanLab/Sequencing/16S/LK16S011/230721_L5PK5/LK16S011-372_S372_L001_R1_001.fastq.gz	/Users/liztown/Documents/KalanLab/Sequencing/16S/LK16S011/230721_L5PK5/LK16S011-372_S372_L001_R2_001.fastq.gz	LK16S011-372	LK16S011	Pig3	3.C0p.2	CHGp	CHG-0-PMAxx	C-0	CHG	0 hr	0	PMAxx
LK16S011-373	/Users/liztown/Documents/KalanLab/Sequencing/16S/LK16S011/230721_L5PK5/LK16S011-373_S373_L001_R1_001.fastq.gz	/Users/liztown/Documents/KalanLab/Sequencing/16S/LK16S011/230721_L5PK5/LK16S011-373_S373_L001_R2_001.fastq.gz	LK16S011-373	LK16S011	Pig3	3.F0p.2	Fullp	Full-0-PMAxx	F-0	Full	0 hr	0	PMAxx
LK16S011-374	/Users/liztown/Documents/KalanLab/Sequencing/16S/LK16S011/230721_L5PK5/LK16S011-374_S374_L001_R1_001.fastq.gz	/Users/liztown/Documents/KalanLab/Sequencing/16S/LK16S011/230721_L5PK5/LK16S011-374_S374_L001_R2_001.fastq.gz	LK16S011-374	LK16S011	Pig3	3.F0p.3	Fullp	Full-0-PMAxx	F-0	Full	0 hr	0	PMAxx
LK16S011-375	/Users/liztown/Documents/KalanLab/Sequencing/16S/LK16S011/230721_L5PK5/LK16S011-375_S375_L001_R1_001.fastq.gz	/Users/liztown/Documents/KalanLab/Sequencing/16S/LK16S011/230721_L5PK5/LK16S011-375_S375_L001_R2_001.fastq.gz	LK16S011-375	LK16S011	Pig3	3.F06.1	Full	Full-06	F-06	Full	6 hr	6	Untreated
LK16S011-376	/Users/liztown/Documents/KalanLab/Sequencing/16S/LK16S011/230721_L5PK5/LK16S011-376_S377_L001_R1_001.fastq.gz	/Users/liztown/Documents/KalanLab/Sequencing/16S/LK16S011/230721_L5PK5/LK16S011-376_S377_L001_R2_001.fastq.gz	LK16S011-376	LK16S011	Pig3	3.F06.3	Full	Full-06	F-06	Full	6 hr	6	Untreated
LK16S011-377	/Users/liztown/Documents/KalanLab/Sequencing/16S/LK16S011/230721_L5PK5/LK16S011-377_S378_L001_R1_001.fastq.gz	/Users/liztown/Documents/KalanLab/Sequencing/16S/LK16S011/230721_L5PK5/LK16S011-377_S378_L001_R2_001.fastq.gz	LK16S011-377	LK16S011	Pig3	3.F06p.1	Fullp	Full-06-PMAxx	F-06	Full	6 hr	6	PMAxx
LK16S011-378	/Users/liztown/Documents/KalanLab/Sequencing/16S/LK16S011/230721_L5PK5/LK16S011-378_S379_L001_R1_001.fastq.gz	/Users/liztown/Documents/KalanLab/Sequencing/16S/LK16S011/230721_L5PK5/LK16S011-378_S379_L001_R2_001.fastq.gz	LK16S011-378	LK16S011	Pig3	3.F06p.3	Fullp	Full-06-PMAxx	F-06	Full	6 hr	6	PMAxx
LK16S011-379	/Users/liztown/Documents/KalanLab/Sequencing/16S/LK16S011/230721_L5PK5/LK16S011-379_S376_L001_R1_001.fastq.gz	/Users/liztown/Documents/KalanLab/Sequencing/16S/LK16S011/230721_L5PK5/LK16S011-379_S376_L001_R2_001.fastq.gz	LK16S011-379	LK16S011	Pig3	3.F12p.1	Fullp	Full-12-PMAxx	F-12	Full	12 hr	12	PMAxx
LK16S011-380	/Users/liztown/Documents/KalanLab/Sequencing/16S/LK16S011/230721_L5PK5/LK16S011-380_S380_L001_R1_001.fastq.gz	/Users/liztown/Documents/KalanLab/Sequencing/16S/LK16S011/230721_L5PK5/LK16S011-380_S380_L001_R2_001.fastq.gz	LK16S011-380	LK16S011	Pig3	3.F24p.1	Fullp	Full-12-PMAxx	F-12	Full	12 hr	12	PMAxx
LK16S011-381	/Users/liztown/Documents/KalanLab/Sequencing/16S/LK16S011/230721_L5PK5/LK16S011-381_S381_L001_R1_001.fastq.gz	/Users/liztown/Documents/KalanLab/Sequencing/16S/LK16S011/230721_L5PK5/LK16S011-381_S381_L001_R2_001.fastq.gz	LK16S011-381	LK16S011	Pig3	3.F24p.2	Fullp	Full-24-PMAxx	F-24	Full	24 hr	24	PMAxx
LK16S011-382	/Users/liztown/Documents/KalanLab/Sequencing/16S/LK16S011/230721_L5PK5/LK16S011-382_S382_L001_R1_001.fastq.gz	/Users/liztown/Documents/KalanLab/Sequencing/16S/LK16S011/230721_L5PK5/LK16S011-382_S382_L001_R2_001.fastq.gz	LK16S011-382	LK16S011	Pig3	3.F48p.1	Fullp	Full-48-PMAxx	F-48	Full	48 hr	48	PMAxx
