CompoundName,CleanName,CompoundID,LipidABV,Formula,Mass,RT,LargerLipidGroup.ABV,LargerLipidGroup,LIPIDClass_CommonName,LipidClass_LIPID_MAPS,LIPID_MAPS
25-hydroxycholecalciferol,25-hydroxycholecalciferol,25-hydroxycholecalciferol__Pp,VitaminD3,C27 H44 O2,400.334,4.51,Sterol lipids ,ST,Secosteroids,Vitamin D3,ST03
ASG 28:2;O;Hex;FA 21:3,ASG 28:2;O;Hex;FA 21:3,ASG.28:2;O;Hex;FA.21:3__Pp,ASG,C55 H90 O7,862.6821,12.43,Fatty Acyls,FA, Acyl Sterol Glycosides, Acyl Sterol Glycosides,
C17-carnitine(d3),C17-carnitine(d3),C17-carnitine(d3)__Pp,C17-carnitine(d3),C24 H44 D3 N O4,416.3695,2.97,Sterol lipids ,ST,Secosteroids,Vitamin D3,ST04
CE 14:1,CE 14:1,CE.14:1__Pp,CE,C41 H70 O2,594.5373,13.01,Sterol lipids ,ST,Cholesteryl ester,Cholesteryl esters ,ST0102
CE 16:1,CE 16:1,CE.16:1__Pp,CE,C43 H74 O2,622.5689,13.69,Sterol lipids ,ST,Cholesteryl ester,Cholesteryl esters ,ST0102
CE 22:1,CE 22:1,CE.22:1__Pp,CE,C49 H86 O2,706.6627,14.61,Sterol lipids ,ST,Cholesteryl ester,Cholesteryl esters ,ST0102
CE 24:1,CE 24:1,CE.24:1__Pp,CE,C51 H90 O2,734.6941,14.7,Sterol lipids ,ST,Cholesteryl ester,Cholesteryl esters ,ST0102
CE_d7 17:1,CE(d7 17:1),CE_d7.17:1__Pp,CE_d7,C44 H69 O2,629.5294,13.69,Sterol lipids ,ST,Cholesteryl ester,Cholesteryl esters ,ST0102
Cer 23:1;O2|Cer 12:1;O2/11:0,Cer 23:1;O2|Cer 12:1;O2/11:0,Cer.23:1;O2|Cer.12:1;O2/11:0__Pp,Cer,C23 H45 N O3,383.34,13.7,Sphingolipids ,SP,Ceramides,Ceramides ,SP02
Cer 31:0;O3|Cer 17:0;O2/14:0;O,Cer 31:0;O3|Cer 17:0;O2/14:0;O,Cer.31:0;O3|Cer.17:0;O2/14:0;O__Pp,Cer,C31 H63 N O4,513.476,6.76,Sphingolipids ,SP,Ceramides,Ceramides ,SP02
Cer 31:1;O3|Cer 17:1;O2/14:0;O,Cer 31:1;O3|Cer 17:1;O2/14:0;O,Cer.31:1;O3|Cer.17:1;O2/14:0;O__Pp,Cer,C31 H61 N O4,511.4604,6.39,Sphingolipids ,SP,Ceramides,Ceramides ,SP02
Cer 32:0;O3|Cer 18:0;O2/14:0;O,Cer 32:0;O3|Cer 18:0;O2/14:0;O,Cer.32:0;O3|Cer.18:0;O2/14:0;O__Pp,Cer,C32 H65 N O4,527.4914,7.27,Sphingolipids ,SP,Ceramides,Ceramides ,SP02
Cer 32:1;O3|Cer 16:1;O2/16:0;O,Cer 32:1;O3|Cer 16:1;O2/16:0;O,Cer.32:1;O3|Cer.16:1;O2/16:0;O__Pp,Cer,C32 H63 N O4,525.4757,6.88,Sphingolipids ,SP,Ceramides,Ceramides ,SP02
Cer 32:2;O2|Cer 16:1;O2/16:1,Cer 32:2;O2|Cer 16:1;O2/16:1,Cer.32:2;O2|Cer.16:1;O2/16:1__Pp,Cer,C32 H61 N O3,507.465,6.92,Sphingolipids ,SP,Ceramides,Ceramides ,SP02
Cer 32:2;O2|Cer 16:1;O2/16:1,Cer 32:2;O2|Cer 16:1;O2/16:1,Cer.32:2;O2|Cer.16:1;O2/16:1__Pp,Cer,C32 H61 N O3,507.4651,6.95,Sphingolipids ,SP,Ceramides,Ceramides ,SP02
Cer 32:2;O2|Cer 16:1;O2/16:1_1,Cer 32:2;O2|Cer 16:1;O2/16:1,Cer.32:2;O2|Cer.16:1;O2/16:1_1__Pp,Cer,C32 H61 N O3,507.4651,6.95,Sphingolipids ,SP,Ceramides,Ceramides ,SP02
Cer 33:0;O3|Cer 17:0;O2/16:0;O,Cer 33:0;O3|Cer 17:0;O2/16:0;O,Cer.33:0;O3|Cer.17:0;O2/16:0;O__Pp,Cer,C33 H67 N O4,541.5072,7.77,Sphingolipids ,SP,Ceramides,Ceramides ,SP02
Cer 33:1;O2|Cer 17:1;O2/16:0,Cer 33:1;O2|Cer 17:1;O2/16:0,Cer.33:1;O2|Cer.17:1;O2/16:0__Pp,Cer,C33 H65 N O3,523.4973,7.72,Sphingolipids ,SP,Ceramides,Ceramides ,SP02
Cer 33:1;O3|Cer 17:1;O2/16:0;O,Cer 33:1;O3|Cer 17:1;O2/16:0;O,Cer.33:1;O3|Cer.17:1;O2/16:0;O__Pp,Cer,C33 H65 N O4,539.4913,7.37,Sphingolipids ,SP,Ceramides,Ceramides ,SP02
Cer 33:2;O2|Cer 17:1;O2/16:1,Cer 33:2;O2|Cer 17:1;O2/16:1,Cer.33:2;O2|Cer.17:1;O2/16:1__Pp,Cer,C33 H63 N O3,521.4806,7.37,Sphingolipids ,SP,Ceramides,Ceramides ,SP02
Cer 34:0;O2|Cer 18:0;O2/16:0,Cer 34:0;O2|Cer 18:0;O2/16:0,Cer.34:0;O2|Cer.18:0;O2/16:0__Pp,Cer,C34 H69 N O3,539.5282,8.56,Sphingolipids ,SP,Ceramides,Ceramides ,SP02
Cer 34:0;O3|Cer 18:0;O2/16:0;O,Cer 34:0;O3|Cer 18:0;O2/16:0;O,Cer.34:0;O3|Cer.18:0;O2/16:0;O__Pp,Cer,C34 H69 N O4,555.5224,8.26,Sphingolipids ,SP,Ceramides,Ceramides ,SP02
Cer 34:1;O2|Cer 18:1;O2/16:0,Cer 34:1;O2|Cer 18:1;O2/16:0,Cer.34:1;O2|Cer.18:1;O2/16:0__Pp,Cer,C34 H67 N O3,537.5119,8.24,Sphingolipids ,SP,Ceramides,Ceramides ,SP02
Cer 34:1;O3|Cer 18:1;O2/16:0;O,Cer 34:1;O3|Cer 18:1;O2/16:0;O,Cer.34:1;O3|Cer.18:1;O2/16:0;O__Pp,Cer,C34 H67 N O4,553.507,7.86,Sphingolipids ,SP,Ceramides,Ceramides ,SP02
Cer 34:1;O3|Cer 18:1;O2/16:0;O,Cer 34:1;O3|Cer 18:1;O2/16:0;O,Cer.34:1;O3|Cer.18:1;O2/16:0;O__Pp,Cer,C34 H67 N O4,553.5069,7.86,Sphingolipids ,SP,Ceramides,Ceramides ,SP02
Cer 34:1;O3|Cer 18:1;O2/16:0;O_1,Cer 34:1;O3|Cer 18:1;O2/16:0;O,Cer.34:1;O3|Cer.18:1;O2/16:0;O_1__Pp,Cer,C34 H67 N O4,553.5069,7.86,Sphingolipids ,SP,Ceramides,Ceramides ,SP02
Cer 35:1;O2|Cer 16:1;O2/19:0,Cer 35:1;O2|Cer 16:1;O2/19:0,Cer.35:1;O2|Cer.16:1;O2/19:0__Pp,Cer,C35 H69 N O3,551.5271,8.75,Sphingolipids ,SP,Ceramides,Ceramides ,SP02
Cer 36:0;O3|Cer 16:0;O2/20:0;O,Cer 36:0;O3|Cer 16:0;O2/20:0;O,Cer.36:0;O3|Cer.16:0;O2/20:0;O__Pp,Cer,C36 H73 N O4,583.5542,8.66,Sphingolipids ,SP,Ceramides,Ceramides ,SP02
Cer 36:1;O2|Cer 16:1;O2/20:0,Cer 36:1;O2|Cer 16:1;O2/20:0,Cer.36:1;O2|Cer.16:1;O2/20:0__Pp,Cer,C36 H71 N O3,565.5433,9.19,Sphingolipids ,SP,Ceramides,Ceramides ,SP02
Cer 37:1;O2|Cer 17:1;O2/20:0,Cer 37:1;O2|Cer 17:1;O2/20:0,Cer.37:1;O2|Cer.17:1;O2/20:0__Pp,Cer,C37 H73 N O3,579.5592,9.65,Sphingolipids ,SP,Ceramides,Ceramides ,SP02
Cer 38:0;O2|Cer 18:0;O2/20:0,Cer 38:0;O2|Cer 18:0;O2/20:0,Cer.38:0;O2|Cer.18:0;O2/20:0__Pp,Cer,C38 H77 N O3,595.5905,10.38,Sphingolipids ,SP,Ceramides,Ceramides ,SP02
Cer 38:0;O3|Cer 20:0;O2/18:0;O,Cer 38:0;O3|Cer 20:0;O2/18:0;O,Cer.38:0;O3|Cer.20:0;O2/18:0;O__Pp,Cer,C38 H77 N O4,611.5856,9.55,Sphingolipids ,SP,Ceramides,Ceramides ,SP02
Cer 38:1;O2|Cer 16:1;O2/22:0,Cer 38:1;O2|Cer 16:1;O2/22:0,Cer.38:1;O2|Cer.16:1;O2/22:0__Pp,Cer,C38 H75 N O3,593.5744,10.08,Sphingolipids ,SP,Ceramides,Ceramides ,SP02
Cer 39:1;O2|Cer 12:0;O2/27:1,Cer 39:1;O2|Cer 12:0;O2/27:1,Cer.39:1;O2|Cer.12:0;O2/27:1__Pp,Cer,C39 H77 N O3,607.5908,9.2,Sphingolipids ,SP,Ceramides,Ceramides ,SP02
Cer 39:1;O2|Cer 17:1;O2/22:0,Cer 39:1;O2|Cer 17:1;O2/22:0,Cer.39:1;O2|Cer.17:1;O2/22:0__Pp,Cer,C39 H77 N O3,607.5906,10.49,Sphingolipids ,SP,Ceramides,Ceramides ,SP02
Cer 40:0;O2|Cer 16:0;O2/24:0,Cer 40:0;O2|Cer 16:0;O2/24:0,Cer.40:0;O2|Cer.16:0;O2/24:0__Pp,Cer,C40 H81 N O3,623.6215,11.19,Sphingolipids ,SP,Ceramides,Ceramides ,SP02
Cer 40:0;O4|Cer 16:0;O3/24:0(2OH),Cer 40:0;O4|Cer 16:0;O3/24:0(2OH),Cer.40:0;O4|Cer.16:0;O3/24:0(2OH)__Pp,Cer,C40 H81 N O5,655.6111,10.16,Sphingolipids ,SP,Ceramides,Ceramides ,SP02
Cer 40:1;O2|Cer 18:1;O2/22:0,Cer 40:1;O2|Cer 18:1;O2/22:0,Cer.40:1;O2|Cer.18:1;O2/22:0__Pp,Cer,C40 H79 N O3,621.6058,10.91,Sphingolipids ,SP,Ceramides,Ceramides ,SP02
Cer 40:1;O2|Cer 25:0;O2/15:1,Cer 40:1;O2|Cer 25:0;O2/15:1,Cer.40:1;O2|Cer.25:0;O2/15:1__Pp,Cer,C40 H79 N O3,621.6068,11.57,Sphingolipids ,SP,Ceramides,Ceramides ,SP02
Cer 40:1;O3|Cer 16:1;O2/24:0;O,Cer 40:1;O3|Cer 16:1;O2/24:0;O,Cer.40:1;O3|Cer.16:1;O2/24:0;O__Pp,Cer,C40 H79 N O4,637.601,9.61,Sphingolipids ,SP,Ceramides,Ceramides ,SP02
Cer 41:0;O2|Cer 17:0;O2/24:0,Cer 41:0;O2|Cer 17:0;O2/24:0,Cer.41:0;O2|Cer.17:0;O2/24:0__Pp,Cer,C41 H83 N O3,637.6372,11.56,Sphingolipids ,SP,Ceramides,Ceramides ,SP02
Cer 41:1;O2|Cer 17:1;O2/24:0,Cer 41:1;O2|Cer 17:1;O2/24:0,Cer.41:1;O2|Cer.17:1;O2/24:0__Pp,Cer,C41 H81 N O3,635.6219,11.29,Sphingolipids ,SP,Ceramides,Ceramides ,SP02
Cer 41:1;O3|Cer 17:1;O2/24:0;O,Cer 41:1;O3|Cer 17:1;O2/24:0;O,Cer.41:1;O3|Cer.17:1;O2/24:0;O__Pp,Cer,C41 H81 N O4,651.6174,10.02,Sphingolipids ,SP,Ceramides,Ceramides ,SP02
Cer 41:2;O2|Cer 20:2;O2/21:0,Cer 41:2;O2|Cer 20:2;O2/21:0,Cer.41:2;O2|Cer.20:2;O2/21:0__Pp,Cer,C41 H79 N O3,633.6093,11.66,Sphingolipids ,SP,Ceramides,Ceramides ,SP02
Cer 42:1;O2|Cer 16:1;O2/26:0,Cer 42:1;O2|Cer 16:1;O2/26:0,Cer.42:1;O2|Cer.16:1;O2/26:0__Pp,Cer,C42 H83 N O3,649.637,11.67,Sphingolipids ,SP,Ceramides,Ceramides ,SP02
Cer 42:1;O3|Cer 16:1;O2/26:0;O,Cer 42:1;O3|Cer 16:1;O2/26:0;O,Cer.42:1;O3|Cer.16:1;O2/26:0;O__Pp,Cer,C42 H83 N O4,665.6322,10.46,Sphingolipids ,SP,Ceramides,Ceramides ,SP02
Cer 42:2;O2|Cer 16:1;O2/26:1,Cer 42:2;O2|Cer 16:1;O2/26:1,Cer.42:2;O2|Cer.16:1;O2/26:1__Pp,Cer,C42 H81 N O3,647.6216,10.82,Sphingolipids ,SP,Ceramides,Ceramides ,SP02
Cer 43:1;O2|Cer 17:1;O2/26:0,Cer 43:1;O2|Cer 17:1;O2/26:0,Cer.43:1;O2|Cer.17:1;O2/26:0__Pp,Cer,C43 H85 N O3,663.6532,12.03,Sphingolipids ,SP,Ceramides,Ceramides ,SP02
