feature	metadata	value	coef	stderr	N	N.not.0	pval	qval
Rothia	Time	Time	-1.12337577183665	0.287490159779808	45	21	0.000341810893286615	0.00375991982615276
Acinetobacter	Time	Time	-1.53206318748402	0.429304583993401	45	19	0.000931328969036527	0.0051223093297009
Proteus	Time	Time	0.614149209660058	0.198923174723128	45	12	0.00361399486282425	0.0132513144970222
Pseudomonas	Time	Time	-1.07419207847778	0.390192940193716	45	16	0.00875956995982059	0.0240888173895066
Macrococcus	Time	Time	-0.607393674392923	0.239517714227802	45	18	0.0151221900904991	0.033268818199098
Bacillus	Time	Time	-0.519292727706596	0.311857144864763	45	20	0.103504932839023	0.189759043538208
Corynebacterium	Time	Time	-0.273803541849277	0.301806046167504	45	31	0.369593568532033	0.461031530408077
SMB53	Time	Time	-0.614561107062308	0.68840036183951	45	35	0.377207615788426	0.461031530408077
Turicibacter	Time	Time	0.535987284208194	0.574138412443118	45	28	0.35600134427606	0.461031530408077
Aerococcus	Time	Time	-0.0898139842284326	0.157999804746601	45	17	0.572834292215508	0.630117721437059
Staphylococcus	Time	Time	-0.0616028875624169	0.306566188716044	45	43	0.841735276958701	0.841735276958701
