feature	metadata	value	coef	stderr	N	N.not.0	pval	qval
Rothia	Time	Time	-2.05643183032139	0.26703062794076	45	30	1.71811055257434e-09	2.5771658288615e-08
Macrococcus	Time	Time	-0.880909877266589	0.237773509603072	45	15	0.000625259181284369	0.00322876979703904
Staphylococcus	Time	Time	-1.5662324006611	0.424006874869384	45	39	0.000645753959407809	0.00322876979703904
Epulopiscium	Time	Time	-1.22358718020629	0.423982882038409	45	14	0.00619820235883669	0.0185946070765101
Proteus	Time	Time	0.771698072616825	0.262498531957537	45	16	0.00537485861765452	0.0185946070765101
Aerococcus	Time	Time	-0.778802990150079	0.279337400732242	45	17	0.00800252107579595	0.0200063026894899
Moraxella	Time	Time	-1.06327719208529	0.439362710602599	45	16	0.0200364169815713	0.0410266766374728
Streptomyces	Time	Time	-0.711952510842386	0.305124657905602	45	22	0.0246160059824837	0.0410266766374728
Turicibacter	Time	Time	-0.980104883734922	0.412718216294105	45	29	0.022321797195196	0.0410266766374728
Pseudomonas	Time	Time	-1.18421416851604	0.531268881799601	45	30	0.0310893311846645	0.0466339967769968
Lactobacillus	Time	Time	-0.864772773519986	0.406737408331632	45	18	0.0395612514831151	0.0539471611133388
Corynebacterium	Time	Time	-1.31733321541505	0.714501320442931	45	28	0.0724611097077465	0.0905763871346831
SMB53	Time	Time	-0.556516266699142	0.416870140531752	45	30	0.189246313262072	0.218361130687007
Acinetobacter	Time	Time	-0.474749399584354	0.374217417745062	45	33	0.211723194573258	0.226846279899919
