feature	metadata	value	coef	stderr	N	N.not.0	pval	qval
Pseudomonas	WaterCHG	Water	-4.55274047579574	0.599823015527421	135	47	5.47043659098833e-12	6.564523909186e-11
Turicibacter	WaterCHG	Water	-6.72562657468047	0.87497721532641	135	71	3.26193209197676e-12	6.564523909186e-11
Streptomyces	WaterCHG	Water	-3.57104828031386	0.479435104520068	135	28	1.16389628002024e-11	9.31117024016191e-11
Streptomyces	WaterCHG	CHG	-2.97539381578031	0.479435104520068	135	28	6.74493590424883e-09	4.0469615425493e-08
SMB53	WaterCHG	Water	-5.29734762227844	0.873412678544996	135	85	1.34102799714734e-08	6.43693438630722e-08
Corynebacterium	WaterCHG	Water	4.86420894605869	0.833022018414701	135	99	3.9665145709588e-08	1.58660582838352e-07
Macrococcus	WaterCHG	Water	1.70827899459212	0.374141273750135	135	61	1.13956306264975e-05	3.90707335765629e-05
Pseudomonas	WaterCHG	CHG	-2.5495051379608	0.599823015527421	135	47	4.04112664573455e-05	0.000107763377219588
Staphylococcus	WaterCHG	Water	2.17626939795784	0.509319517008396	135	127	3.70005314354722e-05	0.000107763377219588
Acinetobacter	WaterCHG	Water	-4.55180935814461	1.09275048300451	135	71	5.62473611486656e-05	0.000134993666756797
Rothia	WaterCHG	CHG	-2.4038959727274	0.626647273309817	135	83	0.000194048157544392	0.000423377798278674
Acinetobacter	WaterCHG	CHG	-3.68891314700144	1.09275048300451	135	71	0.000970865631514961	0.00194173126302992
Staphylococcus	WaterCHG	CHG	1.45566795154801	0.509319517008396	135	127	0.00496564214605925	0.00916733934657092
Aerococcus	WaterCHG	Water	1.28962377447537	0.555159852883811	135	53	0.0217333693441182	0.0372572045899169
Proteus	WaterCHG	Water	-0.95132520061527	0.460543056340838	135	40	0.0408471274403949	0.0653554039046319
Aerococcus	WaterCHG	CHG	1.05730569872645	0.555159852883812	135	53	0.0590536216847803	0.0885804325271705
Turicibacter	WaterCHG	CHG	-1.22089006366322	0.87497721532641	135	71	0.165292592615317	0.233354248398095
