feature	metadata	value	coef	stderr	N	N.not.0	pval	qval
Kocuria	Timepoint	Baseline	3.88009830741433	1.19840720230422	14	6	0.00711676329943849	0.117426594440735
Streptomyces	Timepoint	Baseline	-2.81760454466933	0.815443524882275	14	6	0.00613365903829955	0.117426594440735
Dorea	Timepoint	Baseline	1.11284006210407	0.572578661927524	14	3	0.0796166130504087	0.245260774150805
Janthinobacterium	Timepoint	Baseline	-2.08387864350295	1.07330371805049	14	5	0.080823756320041	0.245260774150805
Jeotgalicoccus	Timepoint	Baseline	2.61027049194624	1.12570994292841	14	3	0.0422498602956496	0.245260774150805
Macrococcus	Timepoint	Baseline	0.546900907706803	0.223925512181462	14	5	0.0347097209092958	0.245260774150805
Proteus	Timepoint	Baseline	-2.0348526255405	1.0312646003906	14	5	0.0767024724075991	0.245260774150805
Rothia	Timepoint	Baseline	-1.38057092901459	0.622985654194913	14	11	0.0509065867105352	0.245260774150805
Staphylococcus	Timepoint	Baseline	-3.00022914330912	1.32665860558611	14	11	0.0466912501999249	0.245260774150805
Trichococcus	Timepoint	Baseline	0.837368880999819	0.43115883645356	14	2	0.0798283907069519	0.245260774150805
Turicibacter	Timepoint	Baseline	-1.73298422559881	0.89562716930237	14	14	0.0817535913836015	0.245260774150805
Psychrobacter	Timepoint	Baseline	0.936371069516977	0.500302235331687	14	2	0.0897177776225729	0.246723888462075
