feature	metadata	value	coef	stderr	N	N.not.0	pval	qval
Acinetobacter	PMAxx	Untreated	-3.96687099840986	0.551710251814533	180	79	1.77838938293602e-11	2.13406725952322e-10
Turicibacter	PMAxx	Untreated	-3.99397854237989	0.585568997394228	180	100	1.39953713575798e-10	8.39722281454788e-10
SMB53	PMAxx	Untreated	-3.42307509673658	0.595212118677805	180	124	3.85038977955667e-08	1.54015591182267e-07
Rothia	PMAxx	Untreated	2.55525948269628	0.535465404328649	180	119	3.81651889079389e-06	1.14495566723817e-05
Aerococcus	PMAxx	Untreated	1.74812758423476	0.378832631396173	180	88	7.56645399534199e-06	1.81594895888208e-05
Staphylococcus	PMAxx	Untreated	1.82779313386502	0.520669600971945	180	169	0.000568160600113066	0.00113632120022613
Moraxella	PMAxx	Untreated	1.79304562577966	0.552563977635137	180	75	0.00140599518837428	0.00241027746578448
Macrococcus	PMAxx	Untreated	0.747648514889858	0.277678193545305	180	73	0.00777691089064658	0.0116653663359699
Grand.Total	PMAxx	Untreated	-0.0542619193937813	0.023253007472326	180	178	0.0207366906602577	0.0276489208803436
Proteus	PMAxx	Untreated	-0.586852497900365	0.393566202391599	180	57	0.137721396387936	0.165265675665523
