feature	metadata	value	coef	stderr	N	N.not.0	pval	qval
Enterococcus	Time	Time	2.49419241369207	0.376460745669202	45	26	5.58560316002269e-08	6.14416347602496e-07
Corynebacterium	Time	Time	1.37953244797371	0.244904953063896	45	40	1.43796049293456e-06	7.9087827111401e-06
Proteus	Time	Time	1.07859109655423	0.297452689834117	45	12	0.000787899908735939	0.00288896633203178
Macrococcus	Time	Time	-0.583747162529788	0.165824248385103	45	28	0.00107159997937609	0.00294689994328424
Bacillus	Time	Time	0.368679241398512	0.197960783075456	45	14	0.0697254966681687	0.153396092669971
Acinetobacter	Time	Time	0.374762708372943	0.246833703772069	45	19	0.136617858418329	0.22974963472218
Rummeliibacillus	Time	Time	0.274961330217185	0.185637048119398	45	14	0.146204313005024	0.22974963472218
Staphylococcus	Time	Time	-0.117205708719228	0.0878968642005975	45	45	0.189746977088627	0.260902093496862
Moraxella	Time	Time	0.287850112395469	0.290724563490553	45	12	0.327926535282597	0.360719188810857
Rothia	Time	Time	0.264327208342295	0.256673633500735	45	32	0.309132402557727	0.360719188810857
Aerococcus	Time	Time	-0.155522663266234	0.188334562737772	45	19	0.413709089699417	0.413709089699417
