feature	metadata	value	coef	stderr	N	N.not.0	pval	qval
Pseudomonas	WaterCHG	Full	4.55274047579555	0.59982301582925	135	47	5.47043672576324e-12	6.56452407091588e-11
Turicibacter	WaterCHG	Full	6.72562657468053	0.874977215319177	135	71	3.26193209046284e-12	6.56452407091588e-11
Streptomyces	WaterCHG	Full	3.57104828031384	0.479435104520265	135	28	1.16389628007599e-11	9.31117024060796e-11
SMB53	WaterCHG	CHG	5.86042519352308	0.873412680782922	135	85	5.43652036277993e-10	3.26191221766796e-09
Turicibacter	WaterCHG	CHG	5.50473651101728	0.874977215319176	135	71	4.43380978097184e-09	2.12822869486648e-08
SMB53	WaterCHG	Full	5.29734762227842	0.873412680782922	135	85	1.3410281051585e-08	5.36411242063401e-08
Corynebacterium	WaterCHG	Full	-4.86420894605868	0.833022018414544	135	99	3.96651457087705e-08	1.35994785287213e-07
Corynebacterium	WaterCHG	CHG	-4.67057112349862	0.833022018414543	135	99	1.18311388114389e-07	3.54934164343167e-07
Macrococcus	WaterCHG	Full	-1.70827899459212	0.37414127361717	135	61	1.13956305473752e-05	3.03883481263339e-05
Rothia	WaterCHG	CHG	-2.7095809865152	0.626647273307662	135	83	3.02494799294299e-05	7.25987518306318e-05
Staphylococcus	WaterCHG	Full	-2.17626939795784	0.509319517008396	135	127	3.70005314351086e-05	8.07284322220551e-05
Acinetobacter	WaterCHG	Full	4.55180935814456	1.09275048300464	135	71	5.62473611492688e-05	0.000112494722298538
Macrococcus	WaterCHG	CHG	-1.43831869824582	0.37414127361717	135	61	0.000188319281432322	0.000347666365721211
Pseudomonas	WaterCHG	CHG	2.00323533783485	0.59982301582925	135	47	0.00109470664622955	0.00187663996496494
Aerococcus	WaterCHG	Full	-1.28962377447525	0.555159854013786	135	53	0.021733369609753	0.0347733913756048
Proteus	WaterCHG	Full	0.951325200615264	0.46054305503745	135	40	0.0408471268734054	0.0612706903101081
Bacillus	WaterCHG	CHG	1.09438727835922	0.640139514434648	135	55	0.0897243899713492	0.126669727018375
Proteus	WaterCHG	CHG	0.752686373872068	0.46054305503745	135	40	0.104605726895953	0.139474302527938
Staphylococcus	WaterCHG	CHG	-0.720601446409833	0.509319517008395	135	127	0.159508658074644	0.201484620725866
Streptomyces	WaterCHG	CHG	0.595654464533537	0.479435104520265	135	28	0.216322197161132	0.259586636593358
Acinetobacter	WaterCHG	CHG	0.862896211143148	1.09275048300464	135	71	0.431167039924381	0.492762331342149
Bacillus	WaterCHG	Full	0.401401621874326	0.640139514434648	135	55	0.531723991511959	0.580062536194864
Rothia	WaterCHG	Full	-0.305685013787766	0.626647273307662	135	83	0.626505881427379	0.653745267576395
Aerococcus	WaterCHG	CHG	-0.232318075748856	0.555159854013786	135	53	0.676293590169975	0.676293590169975
