feature	metadata	value	coef	stderr	N	N.not.0	pval	qval
Streptococcus	WaterCHG	Full	6.33552606833385	1.12631940507939	27	13	1.17710439999569e-05	0.000329589231998793
Streptomyces	WaterCHG	Full	4.23246368181531	1.07353715383825	27	6	0.0006937697642157	0.0097127766990198
Macrococcus	WaterCHG	Full	-1.26376033979549	0.360624848873832	27	13	0.00200302161308072	0.0186948683887534
SMB53	WaterCHG	Full	4.56110479021974	1.42754316565107	27	19	0.00418031105485425	0.0261875024765225
Turicibacter	WaterCHG	Full	5.71308557887048	1.81519040452578	27	13	0.00467633972795044	0.0261875024765225
Epulopiscium	WaterCHG	CHG	4.28173460106461	1.42588547530854	27	11	0.00655104769293581	0.0262041907717432
Epulopiscium	WaterCHG	Full	4.33384426767832	1.42588547530854	27	11	0.00601808542367259	0.0262041907717432
Macrococcus	WaterCHG	CHG	-0.974555097735549	0.360624848873832	27	13	0.0130081402875222	0.0455284910063278
Corynebacterium	WaterCHG	CHG	-2.29947669511594	0.904270360956839	27	19	0.0185398351521714	0.0527010949118376
Corynebacterium	WaterCHG	Full	-2.27935450597441	0.904270360956839	27	19	0.0194674606424789	0.0527010949118376
SMB53	WaterCHG	CHG	3.55812907283311	1.42754316565107	27	19	0.0207040015725076	0.0527010949118376
Acinetobacter	WaterCHG	Full	5.75133974754949	2.43423299395125	27	16	0.0265888507044056	0.0620406516436131
Proteus	WaterCHG	CHG	1.12567288990221	0.566513188052343	27	9	0.0595125634382435	0.128180905866986
Moraxella	WaterCHG	CHG	-1.81713365928069	0.962772923599517	27	7	0.0723707027331573	0.144741405466315
Turicibacter	WaterCHG	CHG	3.28069054273964	1.81519040452578	27	13	0.0844025625224809	0.157551450041964
Proteus	WaterCHG	Full	0.976905664641326	0.566513188052343	27	9	0.0986569167372071	0.172649604290112
Bacillus	WaterCHG	Full	2.37285260421223	1.44450811544927	27	14	0.114668790753371	0.188866243593788
Rothia	WaterCHG	CHG	-1.12175574848781	0.706902812172967	27	18	0.126814151174644	0.19726645738278
Streptococcus	WaterCHG	CHG	1.70356372183443	1.12631940507939	27	13	0.144638827906712	0.213151956915154
Aerococcus	WaterCHG	Full	-1.83623778437548	1.26073359984151	27	10	0.159383845142202	0.223137383199082
Staphylococcus	WaterCHG	Full	-0.90484371160099	0.701002233463206	27	27	0.210178452886946	0.280237937182594
Rothia	WaterCHG	Full	0.887405592699517	0.706902812172967	27	18	0.222524956577703	0.283213581098895
Bacillus	WaterCHG	CHG	1.53522742609082	1.44450811544927	27	14	0.299398968351637	0.364485700601993
Acinetobacter	WaterCHG	CHG	2.2099639328526	2.43423299395125	27	16	0.372973970412374	0.435136298814436
Staphylococcus	WaterCHG	CHG	0.426030913077094	0.701002233463206	27	27	0.549579082827907	0.615528572767255
Aerococcus	WaterCHG	CHG	-0.406391858405998	1.26073359984151	27	10	0.750234172607423	0.807944493577225
Streptomyces	WaterCHG	CHG	0.111111111111113	1.07353715383825	27	6	0.918503847992064	0.952522509028807
Moraxella	WaterCHG	Full	0.0541903351229194	0.962772923599517	27	7	0.955622289910701	0.955622289910701
