feature	metadata	value	coef	stderr	N	N.not.0	pval	qval
Corynebacterium	WaterCHG	CHG	-5.28930175896691	0.838669818491835	27	22	2.39631149381919e-06	7.66819678022141e-05
Rothia	WaterCHG	CHG	-4.35563337594097	0.960944051856186	27	17	0.000164237417242162	0.0013138993379373
SMB53	WaterCHG	CHG	8.46977777848472	1.85817382030026	27	16	0.000154341373735741	0.0013138993379373
Turicibacter	WaterCHG	CHG	7.72587907257254	1.67083295530629	27	12	0.000131433294411622	0.0013138993379373
Turicibacter	WaterCHG	Full	6.72728343340192	1.67083295530629	27	12	0.000565677773231615	0.00362033774868234
Corynebacterium	WaterCHG	Full	-3.02550411206829	0.838669818491835	27	22	0.00156295705550985	0.0083357709627192
Lactobacillus	WaterCHG	Full	1.6323441876648	0.612455887517403	27	7	0.0141371066922089	0.0570492381226238
Streptococcus	WaterCHG	Full	2.83636504380646	1.07337278539332	27	13	0.0142623095306559	0.0570492381226238
Epulopiscium	WaterCHG	CHG	1.66444967376745	0.647586061958485	27	6	0.0174571454556417	0.0620698505089481
Streptomyces	WaterCHG	Full	1.95848866582272	0.777723801005295	27	7	0.0195711037983779	0.0626275321548094
Acinetobacter	WaterCHG	Full	2.71418680945084	1.35049076703219	27	14	0.0568758142706199	0.165456914241803
SMB53	WaterCHG	Full	3.56008468985893	1.85817382030026	27	16	0.0684627257469983	0.182567268658662
