uWellPosition,uSample,Plate,Replicate,Pig,PMAxxConcentration,LHKC,LHKCorder,uCT,uCTMean,uCtSD,uQuantity,uQuantityMean,uQuantitySD,pWellPosition,pSample,pCT,pCTMean,pCtSD,pQuantity,pQuantityMean,pQuantitySD,DeltaCT,TotalBacteria,MeanTotalBacteria,ViableBacteria,MeanBiableBacteria,PercentLive,MeanPercentLive,DeltaBacteria
C8,P1-L-50,1,1,P1,50,Live,0,18.884,18.642,0.228,418.499,522.273,131.394,C15,P1-L-50p,21.596,21.592,0.005,34.907,35.021,0.196,2.95,2510992.501,3133639.925,209442.4216,210125.6798,8.341021387,6.705482595,2301550.08
C9,P1-L-50,1,2,P1,50,Live,0,18.431,18.642,0.228,633.821,522.273,131.394,C16,P1-L-50p,21.589,21.592,0.005,35.135,35.021,0.196,2.95,3802928.237,3133639.925,210810.7987,210125.6798,5.543380929,6.705482595,3592117.438
C10,P1-L-50,1,3,P1,50,Live,0,18.612,18.642,0.228,537.072,522.273,131.394,,,,,,,,,,3222431.764,3133639.925,,,,,
C11,P1-L-10,1,1,P1,10,Live,0,18.625,18.779,0.134,530.626,460.893,71.544,C19,P1-L-10p,20.105,20.04,0.092,136.779,145.15,5.945,1.261,3183758.618,2765360.089,820672.7693,870900.1496,25.7768527,31.49319154,2363085.848
C12,P1-L-10,1,2,P1,10,Live,0,18.873,18.779,0.134,422.821,460.893,71.544,C20,P1-L-10p,19.975,20.04,0.092,154.034,145.15,5.945,1.261,2536923.696,2765360.089,924201.5807,870900.1496,36.43001096,31.49319154,1612722.116
C13,P1-L-10,1,3,P1,10,Live,0,18.839,18.779,0.134,436.371,460.893,71.544,,,,,,,,,,2618223.849,2765360.089,,,,,
D8,P1-H-50,1,1,P1,50,Heated,1,17.309,17.039,0.234,"1,772.57","2,268.57",563.094,D15,P1-H-50p,18.908,18.941,0.034,409.607,397.211,14.862,1.902,10635426.5,13611417.67,2457641.275,2383267.238,23.10806507,17.50932412,8177785.222
D9,P1-H-50,1,2,P1,50,Heated,1,16.928,17.039,0.234,"2,511.12","2,268.57",563.094,D16,P1-H-50p,18.975,18.941,0.034,385.21,397.211,14.862,1.902,15066690.43,13611417.67,2311261.048,2383267.238,15.340204,17.50932412,12755429.38
D10,P1-H-50,1,3,P1,50,Heated,1,16.881,17.039,0.234,"2,622.93","2,268.57",563.094,D17,P1-H-50p,18.941,18.941,0.034,397.192,397.211,14.862,1.902,15737556.66,13611417.67,2383150.641,2383267.238,15.14307903,17.50932412,13354406.02
D11,P1-H-10,1,1,P1,10,Heated,1,17.458,17.584,0.179,"1,545.64","1,376.65",275.288,D18,P1-H-10p,21.095,21.369,0.269,55.217,42.976,13.13,3.784,9273820.479,8259914.579,331301.5117,257855.2159,3.572438268,3.121766132,8942518.967
D12,P1-H-10,1,2,P1,10,Heated,1,17.711,17.584,0.179,"1,226.15","1,376.65",275.288,D19,P1-H-10p,21.379,21.369,0.269,42.566,42.976,13.13,3.784,7356871.769,8259914.579,255398.8785,257855.2159,3.471568983,3.121766132,7101472.89
E8,P1-K-50,1,1,P1,50,HeatKilled,2,16.859,16.977,0.115,"2,676.26","2,402.57",310.796,E15,P1-K-50p,19.579,19.854,0.388,221.472,172.2,75.44,2.877,16057573.63,14415402,1328831.612,1033200.488,8.275419703,7.167337324,14728742.02
E9,P1-K-50,1,2,P1,50,HeatKilled,2,16.982,16.977,0.115,"2,390.83","2,402.57",310.796,E16,P1-K-50p,20.128,19.854,0.388,133.89,172.2,75.44,2.877,14344947.59,14415402,803338.3414,1033200.488,5.60014832,7.167337324,13541609.25
E10,P1-K-50,1,3,P1,50,HeatKilled,2,17.089,16.977,0.115,"2,167.46","2,402.57",310.796,,,,,,,,,,13004754.11,14415402,,,,,
E11,P1-K-10,1,1,P1,10,HeatKilled,2,18.244,18.176,0.298,752.079,800.508,282.09,E18,P1-K-10p,23.703,23.842,0.127,5.064,4.458,0.646,5.666,4512474.958,4803047.003,30383.61261,26747.14019,0.673324792,0.556878585,4482091.346
E12,P1-K-10,1,2,P1,10,HeatKilled,2,18.434,18.176,0.298,631.967,800.508,282.09,E19,P1-K-10p,23.871,23.842,0.127,4.341,4.458,0.646,5.666,3791801.138,4803047.003,26047.66277,26747.14019,0.686946963,0.556878585,3765753.476
E13,P1-K-10,1,3,P1,10,HeatKilled,2,17.85,18.176,0.298,"1,079.29",800.508,282.09,E20,P1-K-10p,23.953,23.842,0.127,4.03,4.458,0.646,5.666,6475751.17,4803047.003,24178.2381,26747.14019,0.373365768,0.556878585,6451572.932
