Pig,DNA extraction Batch,Sample,DNAconc (ng/µl) ,PmaxxGroup,Group,TimeGroup,WaterCHG,Timepoint,Time,PMAxx
P1,2,1-C06p-1,3.88,CHGp,CHG-6-PMAxx,Cp-6,CHG,6 hr,6,PMAxx
P1,2,1-C06p-2,3.48,CHGp,CHG-6-PMAxx,Cp-6,CHG,6 hr,6,PMAxx
P1,2,1-C06p-3,3.62,CHGp,CHG-6-PMAxx,Cp-6,CHG,6 hr,6,PMAxx
P1,1,1-C0p-1,3.94,CHGp,CHG-0-PMAxx,Cp-0,CHG,0 hr,0,PMAxx
P1,1,1-C0p-2,3.52,CHGp,CHG-0-PMAxx,Cp-0,CHG,0 hr,0,PMAxx
P1,1,1-C0p-3,2.67,CHGp,CHG-0-PMAxx,Cp-0,CHG,0 hr,0,PMAxx
P1,2,1-C12p-1,3.15,CHGp,CHG-12-PMAxx,Cp-12,CHG,12 hr,12,PMAxx
P1,3,1-C12p-2,3.71,CHGp,CHG-12-PMAxx,Cp-12,CHG,12 hr,12,PMAxx
P1,3,1-C12p-3,4.03,CHGp,CHG-12-PMAxx,Cp-12,CHG,12 hr,12,PMAxx
P1,3,1-C24p-1,5.08,CHGp,CHG-24-PMAxx,Cp-24,CHG,24 hr,24,PMAxx
P1,3,1-C24p-2,4.86,CHGp,CHG-24-PMAxx,Cp-24,CHG,24 hr,24,PMAxx
P1,3,1-C24p-3,4.21,CHGp,CHG-24-PMAxx,Cp-24,CHG,24 hr,24,PMAxx
P1,5,1-C48p-1,5.22,CHGp,CHG-48-PMAxx,Cp-48,CHG,48 hr,48,PMAxx
P1,5,1-C48p-2,4.78,CHGp,CHG-48-PMAxx,Cp-48,CHG,48 hr,48,PMAxx
P1,5,1-C48p-3,4.86,CHGp,CHG-48-PMAxx,Cp-48,CHG,48 hr,48,PMAxx
P1,1,1-CBp-1,4.01,CHGp,CHG-B-PMAxx,C-B,CHG,Baseline,-12,PMAxx
P1,2,1-F06p-1,3.75,Fullp,Full-6-PMAxx,Fp-6,Full,6 hr,6,PMAxx
P1,2,1-F06p-2,3.96,Fullp,Full-6-PMAxx,Fp-6,Full,6 hr,6,PMAxx
P1,2,1-F06p-3,3.23,Fullp,Full-6-PMAxx,Fp-6,Full,6 hr,6,PMAxx
P1,1,1-F0p-1,4.16,Fullp,Full-0-PMAxx,Fp-0,Full,0 hr,0,PMAxx
P1,1,1-F0p-2,3.54,Fullp,Full-0-PMAxx,Fp-0,Full,0 hr,0,PMAxx
P1,1,1-F0p-3,3.86,Fullp,Full-0-PMAxx,Fp-0,Full,0 hr,0,PMAxx
P1,3,1-F12p-1,3.91,Fullp,Full-12-PMAxx,Fp-12,Full,12 hr,12,PMAxx
P1,3,1-F12p-2,3.71,Fullp,Full-12-PMAxx,Fp-12,Full,12 hr,12,PMAxx
P1,3,1-F12p-3,4.57,Fullp,Full-12-PMAxx,Fp-12,Full,12 hr,12,PMAxx
P1,4,1-F24p-1,4.09,Fullp,Full-24-PMAxx,Fp-24,Full,24 hr,24,PMAxx
