CompoundID,P3_ChloraPrep_EndPoint.1,P3_ChloraPrep_EndPoint.2,P3_ChloraPrep_EndPoint.3,P3_ChloraPrep_Baseline.1,P3_ChloraPrep_Baseline.2,P3_ChloraPrep_Baseline.3,P3_ChloraPrep_PostIntervention.1,P3_ChloraPrep_PostIntervention.2,P3_ChloraPrep_PostIntervention.3,P3_FullSurgicalPrep_EndPoint.1,P3_FullSurgicalPrep_EndPoint.2,P3_FullSurgicalPrep_EndPoint.3,P3_FullSurgicalPrep_Baseline.1,P3_FullSurgicalPrep_Baseline.2,P3_FullSurgicalPrep_Baseline.3,P3_FullSurgicalPrep_PostIntervention.1,P3_FullSurgicalPrep_PostIntervention.2,P3_FullSurgicalPrep_PostIntervention.3,P3_Water_EndPoint.1,P3_Water_EndPoint.2,P3_Water_EndPoint.3,P3_Water_Baseline.1,P3_Water_Baseline.2,P3_Water_Baseline.3,P3_Water_PostIntervention.1,P3_Water_PostIntervention.2,P3_Water_PostIntervention.3
Cer_ADS.d16:0_13:0__Np,4.90E-05,7.03E-05,4.78E-05,4.51E-05,3.43E-05,4.87E-05,4.40E-05,6.72E-05,7.45E-05,4.57E-05,6.95E-05,8.34E-05,6.00E-05,3.84E-05,3.37E-05,6.57E-05,4.27E-05,4.60E-05,6.42E-05,4.39E-05,6.76E-05,5.42E-05,3.84E-05,5.19E-05,5.10E-05,6.84E-05,4.24E-05
Cer_ADS.d16:0_14:0__Np,0.000387551,0.000512576,0.000379584,0.000388569,0.000276164,0.000423625,0.000325398,0.000479132,0.000524676,0.000306184,0.000397993,0.000483976,0.000474673,0.000333608,0.000327975,0.000304214,0.000248142,0.000247962,0.000485577,0.000316602,0.000529329,0.000424037,0.000376588,0.000429789,0.000374796,0.000509963,0.000312689
Cer_ADS.d16:0_16:0__Np,0.005262507,0.006141654,0.005203585,0.005851078,0.004133866,0.006163131,0.004635312,0.005991007,0.006574277,0.004335809,0.006005926,0.007019785,0.006585525,0.005066895,0.005940407,0.003805968,0.003916688,0.003605445,0.006011371,0.003977887,0.006197946,0.005875888,0.004716149,0.006427219,0.004774961,0.006794507,0.004128584
Cer_ADS.d17:0_14:0__Np,0.005375593,0.006400846,0.00507611,0.004218683,0.002926886,0.003899744,0.003082908,0.004531036,0.007073124,0.002941726,0.004863112,0.004196012,0.005743448,0.003581005,0.0031123,0.003349616,0.002123891,0.001866693,0.005695749,0.002874396,0.005326792,0.004963461,0.002307077,0.004214002,0.00379051,0.004745718,0.003017432
Cer_ADS.d17:0_16:0__Np,0.012349954,0.012665676,0.011469698,0.009889414,0.008839832,0.012495683,0.008277019,0.011263199,0.011819284,0.00838063,0.012148015,0.015606793,0.01504485,0.011359216,0.011011257,0.008138449,0.007342948,0.007217673,0.013203277,0.008259118,0.011744219,0.012476021,0.009370625,0.013147152,0.00906085,0.008378667,0.004969904
Cer_ADS.d18:0_16:0__Np,0.015770534,0.012608469,0.013397881,0.01473331,0.00897641,0.012418509,0.011855847,0.012449829,0.012900644,0.012727188,0.019047115,0.024213912,0.015725936,0.012655341,0.016076678,0.007659929,0.010353818,0.00911995,0.018344033,0.009518186,0.013537185,0.013137854,0.009771971,0.017297151,0.010495121,0.015166303,0.009260491
Cer_ADS.d18:0_25:0__Np,0.001029065,0.000333174,0.000661908,0.000726642,0.0005163,3.20E-05,0.000382069,0.000452663,0.000535827,3.37E-05,0.0007195,0.000397496,0.000838265,0.000542955,0.000505726,0.000371107,0.000327363,8.81E-05,0.001503999,0.000331586,0.001193809,0.000760714,0.000199831,0.00062557,9.18E-06,0.000126349,3.29E-05
Cer_ADS.d19:0_16:0__Np,0.000430125,0.000323122,0.00045234,0.00121084,0.000496671,0.000830217,0.000954794,0.000453625,0.000340046,0.000636126,0.000910557,0.001623235,0.000919121,0.000913578,0.001286446,3.45E-05,0.000795561,0.000642268,0.000499525,0.000420798,0,0.000739139,0.000506036,0.001156727,0.000217217,0.000699796,0.000375808
Cer_ADS.d19:0_26:0__Np,0.006144313,0.00593739,0.004819774,0.003637652,0.002817381,0.004407368,0.002506382,0.003795427,0.004199027,0.0026719,0.004215139,0.004796608,0.004871503,0.003656746,0.002885378,0.002297348,0.001578697,0.00222377,0.004909407,0.002255965,0.004882557,0.003969364,0.001941172,0.003588804,0.00265991,0.004044304,0.002598939
Cer_ADS.d19:0_29:0__Np,0.000780993,0.000601523,0.000560395,0.000395243,0.000312777,0.000530323,0.00022154,0.000485853,0.000257977,0.000283306,0.000300445,0.000720571,0.000163446,0.000470168,0.000235918,0.000108062,0.000330951,8.80E-05,0.000538663,0.000127032,0.000586921,0.000317557,0.000317228,0.000181061,0.000244576,0.00050638,0.000251253
