CompoundID,CompoundName,Formula,Phase,Mass,RT,P3_ChloraPrep_EndPoint.1,P3_ChloraPrep_EndPoint.2,P3_ChloraPrep_EndPoint.3,P3_ChloraPrep_Baseline.1,P3_ChloraPrep_Baseline.2,P3_ChloraPrep_Baseline.3,P3_ChloraPrep_PostIntervention.1,P3_ChloraPrep_PostIntervention.2,P3_ChloraPrep_PostIntervention.3,P3_FullSurgicalPrep_EndPoint.1,P3_FullSurgicalPrep_EndPoint.2,P3_FullSurgicalPrep_EndPoint.3,P3_FullSurgicalPrep_Baseline.1,P3_FullSurgicalPrep_Baseline.2,P3_FullSurgicalPrep_Baseline.3,P3_FullSurgicalPrep_PostIntervention.1,P3_FullSurgicalPrep_PostIntervention.2,P3_FullSurgicalPrep_PostIntervention.3,P3_Water_EndPoint.1,P3_Water_EndPoint.2,P3_Water_EndPoint.3,P3_Water_Baseline.1,P3_Water_Baseline.2,P3_Water_Baseline.3,P3_Water_PostIntervention.1,P3_Water_PostIntervention.2,P3_Water_PostIntervention.3
Cer_ADS.d16:0_13:0__Np,Cer_ADS d16:0_13:0,C29 H59 N O4,Negative Phase,485.4444,5.87,69494.57087,129607.8973,92697.99788,108627.4624,52675.61009,60776.47329,77638.67161,77468.57344,141534.1981,74020.12788,112983.8615,76618.19001,120286.9543,57132.66967,50552.74163,144471.164,49018.64606,52394.5501,152181.1646,83879.26689,84576.18569,72222.38515,60025.15105,71514.51878,46393.49608,52328.43448,65410.8565
Cer_ADS.d16:0_14:0__Np,Cer_ADS d16:0_14:0,C30 H61 N O4,Negative Phase,499.46,6.33,549672.921,945660.254,735477.1457,935815.9253,423528.6142,528748.0372,573871.029,551982.9535,997013.129,495544.4241,647180.9254,444378.7098,951948.5294,495863.0857,492262.1034,668797.1828,284907.3625,282425.6594,1151624.201,605598.7019,662489.804,564903.3755,587955.5393,591877.0986,340961.757,390097.5704,482581.0656
Cer_ADS.d16:0_16:0__Np,Cer_ADS d16:0_16:0,C32 H65 N O4,Negative Phase,527.4915,7.33,7463940.619,11330838,10082397.07,14091528.24,6339760.748,7692524.853,8174831.55,6901921.276,12492736.87,7017309.406,9766294.357,6445444.976,13207146.95,7531262.911,8916043.459,8367203.776,4497003.144,4106562.89,14256936.93,7608923.448,7757128.646,7827881.784,7363189.423,8851146.411,4343909.852,5197477.659,6371759.686
Cer_ADS.d17:0_14:0__Np,Cer_ADS d17:0_14:0,C31 H63 N O4,Negative Phase,513.4759,6.83,7624333.379,11809025.13,9835403.825,10160127,4488717.131,4867473.126,5437013.011,5219966.449,13440667.8,4761048.263,7907954.113,3852706.011,11518377.98,5322685.955,4671296.139,7363940.385,2438576.681,2126142.947,13508388.41,5498160.462,6666823.474,6612343.079,3601973.759,5803248.135,3448328.436,3630251.145,4656887.681
Cer_ADS.d17:0_16:0__Np,Cer_ADS d17:0_16:0,C33 H67 N O4,Negative Phase,541.5072,7.85,17516238.69,23367112.71,22223535.69,23817313.39,13556902.87,15596512.23,14597342.09,12975733.06,22459534.78,13563665.77,19754006.04,14329887.21,30172164.51,16883959.23,16526955.82,17891918.2,8430914.377,8220850.361,31313703.15,15798085.72,14698646,16620605.06,14630092.12,18105397.71,8242897.911,6409285.803,7670193.259
Cer_ADS.d18:0_16:0__Np,Cer_ADS d18:0_16:0,C34 H69 N O4,Negative Phase,555.5229,8.32,22367730.44,23261570.6,25959557.23,35483178.53,13766361.04,15500188.15,20908959.46,14342787.26,24514382.57,20598371.09,30972698.93,22232795.13,31538071.11,18810476.91,24129719.25,16839918.6,11887890.09,10387523.29,43505836.51,18206437.82,16942658.85,17502301.35,15256700.82,23820505.91,9547692.472,11601507.64,14291976.61
Cer_ADS.d18:0_25:0__Np,Cer_ADS d18:0_25:0,C43 H87 N O4,Negative Phase,681.6631,11.24,1459548.429,614677.3485,1282504.767,1750018.254,791806.2713,39897.72925,673815.7069,521488.7932,1018202.595,54525.09497,1169985.336,364973.8913,1681125.441,807030.275,759051.7379,815857.8028,375867.0655,100294.9477,3566976.487,634259.6518,1494129.255,1013426.489,311990.876,861493.551,8350.775527,96651.03572,50825.96298
Cer_ADS.d19:0_16:0__Np,Cer_ADS d19:0_16:0,C35 H71 N O4,Negative Phase,569.5382,8.62,610056.246,596132.6827,876447.3752,2916144.785,761701.9962,1036237.313,1683874.06,522596.8776,646171.3407,1029541.587,1480665.811,1490426.369,1843279.627,1357911.477,1930845.835,75896.14572,913435.1832,731535.7498,1184703.952,804905.0781,0,984683.4237,790059.7717,1592969.261,197608.0137,535311.1453,579995.1444
Cer_ADS.d19:0_26:0__Np,Cer_ADS d19:0_26:0,C45 H91 N O4,Negative Phase,709.6948,12.76,8714628.469,10953988.09,9338730.99,8760792.221,4320778.777,5501065.789,4420251.902,4372510.433,7979180.483,4324348.397,6854278.343,4404162.115,9769708.463,5435264.558,4330705.213,5050588.367,1812604.371,2532849.814,11643451.55,4315221.725,6110834.619,5288002.324,3030697.332,4942266.677,2419791.596,3093702.381,4011015.253
Cer_ADS.d19:0_29:0__Np,Cer_ADS d19:0_29:0,C48 H97 N O4,Negative Phase,751.7409,12.93,1107700.764,1109760.04,1085814.076,951889.8965,479680.1428,661923.8101,390707.1976,559724.931,490220.1835,458517.384,488556.4245,661616.1333,327787.5323,698841.7496,354093.1192,237569.2146,379986.6041,100268.5417,1277525.637,242988.3025,734569.6281,423050.6343,495279.4375,249344.6923,222497.533,387357.1306,387766.5377
